category	name	contact	keywords	github	version	release
scripts	aux-MHC	Alexander Dilthey	MHC	https://github.com/DiltheyLab/MHC-annotation	v0	cc0c9b6
scripts	aux-various	Mark Loftus	MEI, MHC, Iso-Seq, SMN	https://github.com/Markloftus/HGSVC3	v0	9d74a77
scripts	kmerdbg	Tobias Rausch	sample selection	https://github.com/tobiasrausch/kmerdbg	v0	0688dd9
scripts	PanGenie-hgsvc3	Jana Ebler	PanGenie HGSVC3 experiments	https://github.com/eblerjana/hgsvc3	v0	9cd4960
scripts	Sample-selection	Arvis Sulovari	sample selection	https://github.com/asulovar/HGSVC3_sample_selection	v0	4493551
scripts	assembly_eval	Youngjun Kwon	assembly evaluation	https://github.com/EichlerLab/assembly_eval	v0	f50f9dc
scripts	cubi-custom	Peter Ebert	custom scripts	https://github.com/core-unit-bioinformatics/project-run-hgsvc-hybrid-assemblies	v2	https://github.com/core-unit-bioinformatics/project-run-hgsvc-hybrid-assemblies/archive/refs/tags/v2.tar.gz
tool	L1ME-AID	Mark Loftus	MEI	https://github.com/Markloftus/L1ME-AID	v1.0.0-beta	https://github.com/Markloftus/L1ME-AID/blob/main/previousVersions/limeaid.v1.0.0-beta.py
tool	MELT-LRA	Scott Devine	MEI calling	https://github.com/Scott-Devine/MELT-LRA	v1.4.1	https://github.com/Scott-Devine/MELT-LRA/archive/refs/tags/1.4.1.tar.gz
tool	PALMER2	Weichen Zhou	MEI calling	https://github.com/WeichenZhou/PALMER	v2.0.1	https://github.com/WeichenZhou/PALMER/archive/refs/tags/V2.0.1.tar.gz
tool	PAV3	Peter Audano	variant calling	https://github.com/EichlerLab/pav	v0	(manuscript in preparation)
workflow	Assembly-evaluation	Peter Ebert	assembly evaluation	https://github.com/core-unit-bioinformatics/workflow-smk-assembly-evaluation	v1.1-ptyp	https://github.com/core-unit-bioinformatics/workflow-smk-assembly-evaluation/archive/refs/tags/v1.1-ptyp.tar.gz
workflow	SDA2	Mark Chaisson	segdups	https://github.com/ChaissonLab/SegDupAnnotation2	v1.3.2	https://github.com/ChaissonLab/SegDupAnnotation2/archive/refs/tags/v1.3.2.tar.gz
workflow	Verkko-assembly	Peter Ebert	genome assembly	https://github.com/core-unit-bioinformatics/workflow-smk-genome-hybrid-assembly	v1.4.1-ptyp	https://github.com/core-unit-bioinformatics/workflow-smk-genome-hybrid-assembly/archive/refs/tags/v1.4.1-ptyp.tar.gz
workflow	CDR-Finder	Glennis Logsdon	CDR annotation	https://github.com/EichlerLab/CDR-Finder_smk	v0	529370e
