SampleID	Sex
HG01879	1
HG01880	2
HG01881	2
HG01882	1
HG01883	2
HG01888	1
HG01884	2
HG01885	1
HG01956	2
HG01886	2
HG01887	1
HG02014	1
HG01889	2
HG01890	1
HG01891	2
HG01894	2
HG01895	1
HG01912	1
HG01896	2
HG01897	1
HG02013	1
HG01985	2
HG01914	1
HG01915	2
HG01916	2
HG01958	2
HG01959	2
HG01986	1
HG01960	2
HG01988	1
HG01989	2
HG01987	1
HG01990	1
HG02012	2
HG02009	1
HG02010	2
HG02011	1
HG02051	1
HG02052	2
HG02053	1
HG02054	2
HG02055	1
HG02095	2
HG02332	1
HG02107	1
HG02108	2
HG02111	2
HG02143	1
HG02144	2
HG02145	1
HG02255	1
HG02256	2
HG02257	2
HG02258	1
HG02314	1
HG02315	2
HG02280	2
HG02307	1
HG02308	2
HG02281	1
HG02282	2
HG02321	2
HG02283	1
HG02309	2
HG02284	1
HG02316	1
HG02317	1
HG02318	2
HG02322	2
HG02323	1
HG02325	2
HG02337	2
HG02334	1
HG02330	1
HG02339	2
HG02343	1
HG02419	2
HG02420	1
HG02427	2
HG02429	1
HG02433	1
HG02439	1
HG02442	1
HG02445	1
HG02489	1
HG02449	1
HG02450	2
HG02451	2
HG02455	1
HG02470	1
HG02471	2
HG02476	2
HG02477	2
HG02479	2
HG02481	1
HG02484	1
HG02485	2
HG02511	2
HG02496	1
HG02497	2
HG02501	1
HG02502	2
HG02505	2
HG02508	2
HG02536	1
HG02537	2
HG02541	1
HG02545	1
HG02546	2
HG02549	2
HG02554	1
HG02555	2
HG02557	1
HG02558	2
HG02577	2
HG02580	2
NA19625	2
NA20274	2
NA19700	1
NA19701	2
NA19702	1
NA19703	1
NA19704	2
NA19705	1
NA19707	2
NA19711	1
NA19712	2
NA19818	1
NA19819	2
NA19828	1
NA19834	1
NA19835	2
NA19836	2
NA19900	1
NA19901	2
NA19902	2
NA19904	1
NA19913	2
NA19908	1
NA19909	2
NA19919	1
NA19914	2
NA19916	1
NA19917	2
NA19918	1
NA19920	1
NA19921	2
NA20129	2
NA19922	1
NA19923	2
NA19924	2
NA19713	2
NA19982	1
NA19983	2
NA19984	1
NA20126	1
NA20127	2
NA20128	2
NA20276	2
NA20278	1
NA20279	1
NA20282	2
NA20281	1
NA20287	2
NA20289	2
NA20291	1
NA20294	2
NA20296	2
NA20299	2
NA20298	1
NA20314	2
NA20317	2
NA20318	1
NA20321	2
NA20320	2
NA20332	2
NA20334	2
NA20355	2
NA20339	2
NA20340	1
NA20342	1
