# 20240124T1621
index	sample	cell	alt_id	read_type	data_source	file_source	project	processing_batch	file_rel_path	file_date	file_group	group_date	matched	file_name	curated_by
0	GM12329	cell-id-na	20221213_GM12329_UL_eee-prom1-2C-PAG67658_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	ont	UW_WH	manual	UW_WH	3	project-centric/hgsvc/nanopore/20230905_HGSVC_EEE_UL_ONT/NA12329/20221213_GM12329_UL_eee-prom1-2C-PAG67658_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	unset	a9a2a087b2f0546cf89a57b46b84da32	2023	-1	20221213_GM12329_UL_eee-prom1-2C-PAG67658_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	UW_WH
1	GM12329	cell-id-na	20221214_GM12329_UL_eee-prom1-2C-PAG67658_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	ont	UW_WH	manual	UW_WH	3	project-centric/hgsvc/nanopore/20230905_HGSVC_EEE_UL_ONT/NA12329/20221214_GM12329_UL_eee-prom1-2C-PAG67658_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	unset	a9a2a087b2f0546cf89a57b46b84da32	2023	-1	20221214_GM12329_UL_eee-prom1-2C-PAG67658_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	UW_WH
2	GM12329	cell-id-na	20221214_GM12329_UL_eee-prom1-2F-PAK34773_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	ont	UW_WH	manual	UW_WH	3	project-centric/hgsvc/nanopore/20230905_HGSVC_EEE_UL_ONT/NA12329/20221214_GM12329_UL_eee-prom1-2F-PAK34773_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	unset	a9a2a087b2f0546cf89a57b46b84da32	2023	-1	20221214_GM12329_UL_eee-prom1-2F-PAK34773_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	UW_WH
3	GM12329	cell-id-na	20221220_GM12329_UL_eee-prom1-2D-PAG67852_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	ont	UW_WH	manual	UW_WH	3	project-centric/hgsvc/nanopore/20230905_HGSVC_EEE_UL_ONT/NA12329/20221220_GM12329_UL_eee-prom1-2D-PAG67852_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	unset	a9a2a087b2f0546cf89a57b46b84da32	2023	-1	20221220_GM12329_UL_eee-prom1-2D-PAG67852_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	UW_WH
4	GM12329	cell-id-na	20221228_GM12329_UL_eee-prom1-2B-PAG68635_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	ont	UW_WH	manual	UW_WH	3	project-centric/hgsvc/nanopore/20230905_HGSVC_EEE_UL_ONT/NA12329/20221228_GM12329_UL_eee-prom1-2B-PAG68635_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	unset	a9a2a087b2f0546cf89a57b46b84da32	2023	-1	20221228_GM12329_UL_eee-prom1-2B-PAG68635_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	UW_WH
5	GM12329	cell-id-na	20230627_GM12329_UL_eee-prom1-2C-PAM99144_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	ont	UW_WH	manual	UW_WH	3	project-centric/hgsvc/nanopore/20230905_HGSVC_EEE_UL_ONT/NA12329/20230627_GM12329_UL_eee-prom1-2C-PAM99144_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	unset	a9a2a087b2f0546cf89a57b46b84da32	2023	-1	20230627_GM12329_UL_eee-prom1-2C-PAM99144_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	UW_WH
6	GM12329	cell-id-na	20230627_GM12329_UL_eee-prom1-2D-PAM99130_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	ont	UW_WH	manual	UW_WH	3	project-centric/hgsvc/nanopore/20230905_HGSVC_EEE_UL_ONT/NA12329/20230627_GM12329_UL_eee-prom1-2D-PAM99130_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	unset	a9a2a087b2f0546cf89a57b46b84da32	2023	-1	20230627_GM12329_UL_eee-prom1-2D-PAM99130_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	UW_WH
7	GM19129	m54329U_201021_182400	m54329U_201021_182400	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	1	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m54329U_201021_182400.ccs.fastq.gz	2020	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1	m54329U_201021_182400.ccs.fastq.gz	metadata
8	GM19129	m54329U_210223_194607	m54329U_210223_194607	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	1	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m54329U_210223_194607.ccs.fastq.gz	2021	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1	m54329U_210223_194607.ccs.fastq.gz	metadata
9	GM19129	m54329U_210507_224951-bc1022_BAK8B_OA	m54329U_210507_224951-bc1022_BAK8B_OA	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	1	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m54329U_210507_224951-bc1022_BAK8B_OA.hifi_reads.fastq.gz	2021	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1	m54329U_210507_224951-bc1022_BAK8B_OA.hifi_reads.fastq.gz	metadata
10	GM19129	m54329U_210516_043155-bc1022_BAK8B_OA	m54329U_210516_043155-bc1022_BAK8B_OA	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	1	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m54329U_210516_043155-bc1022_BAK8B_OA.hifi_reads.fastq.gz	2021	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1	m54329U_210516_043155-bc1022_BAK8B_OA.hifi_reads.fastq.gz	metadata
11	GM19129	m64076_201023_184120	m64076_201023_184120	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	1	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m64076_201023_184120.ccs.fastq.gz	2020	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1	m64076_201023_184120.ccs.fastq.gz	metadata
12	GM19129	m64076_201025_005549	m64076_201025_005549	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	1	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m64076_201025_005549.ccs.fastq.gz	2020	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1	m64076_201025_005549.ccs.fastq.gz	metadata
13	GM19129	m64076_201026_210420	m64076_201026_210420	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	1	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m64076_201026_210420.ccs.fastq.gz	2020	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1	m64076_201026_210420.ccs.fastq.gz	metadata
14	GM19129	m64076_210423_190653	m64076_210423_190653	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	1	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m64076_210423_190653.hifi_reads.fastq.gz	2021	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1	m64076_210423_190653.hifi_reads.fastq.gz	metadata
15	GM19129	GM19129_20210915_UL_eee-prom1-3D-PAH94870_guppy-5.0.11-sup-prom_fastq_pass	GM19129_20210915_UL_eee-prom1-3D-PAH94870_guppy-5.0.11-sup-prom_fastq_pass	ont	HGSVCuw	20230627_hgsvc_ont_cell-UW.tsv	HGSVCuw	1	project-centric/hgsvc/nanopore/20230501_HGSVC_UL_ONT-UW/GM19129/GM19129_20210915_UL_eee-prom1-3D-PAH94870_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	2021	07508687b194fccd52f7c9366f387ad1	2023	1	GM19129_20210915_UL_eee-prom1-3D-PAH94870_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	metadata
