# AUTOGEN TABLE - DO NOT EDIT
# 20230822T1551
# Samples in batch: 39
sample	read_type	source	statistic	value	rel_path	batch_number
HG00171	hifi	all	cov_xfold_grt_0bp_at_3Gbp	37.5	full_dataset	1
HG00171	hifi	all	cov_xfold_grt_15kbp_at_3Gbp	33.9	full_dataset	1
HG00171	hifi	all	length_N50_grt_0bp	20232.0	full_dataset	1
HG00171	hifi	all	total_length_grt_0bp	112640581375.0	full_dataset	1
HG00171	hifi	all	total_length_grt_15kbp	101586211015.0	full_dataset	1
HG00171	hifi	all	total_num_grt_0bp	5657119.0	full_dataset	1
HG00171	hifi	all	total_num_grt_15kbp	4869029.0	full_dataset	1
HG00171	hifi	m54329U_220205_003428.hifi_reads.fastq.gz	cov_xfold_grt_0bp_at_3Gbp	12.8	20220418_UW_HiFi/HG00171/m54329U_220205_003428.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220205_003428.hifi_reads.fastq.gz	cov_xfold_grt_15kbp_at_3Gbp	11.5	20220418_UW_HiFi/HG00171/m54329U_220205_003428.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220205_003428.hifi_reads.fastq.gz	length_N50_grt_0bp	20234.0	20220418_UW_HiFi/HG00171/m54329U_220205_003428.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220205_003428.hifi_reads.fastq.gz	total_length_grt_0bp	38407898468.0	20220418_UW_HiFi/HG00171/m54329U_220205_003428.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220205_003428.hifi_reads.fastq.gz	total_length_grt_15kbp	34646491330.0	20220418_UW_HiFi/HG00171/m54329U_220205_003428.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220205_003428.hifi_reads.fastq.gz	total_num_grt_0bp	1928463.0	20220418_UW_HiFi/HG00171/m54329U_220205_003428.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220205_003428.hifi_reads.fastq.gz	total_num_grt_15kbp	1660439.0	20220418_UW_HiFi/HG00171/m54329U_220205_003428.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220212_223600.hifi_reads.fastq.gz	cov_xfold_grt_0bp_at_3Gbp	12.5	20220418_UW_HiFi/HG00171/m54329U_220212_223600.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220212_223600.hifi_reads.fastq.gz	cov_xfold_grt_15kbp_at_3Gbp	11.3	20220418_UW_HiFi/HG00171/m54329U_220212_223600.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220212_223600.hifi_reads.fastq.gz	length_N50_grt_0bp	20232.0	20220418_UW_HiFi/HG00171/m54329U_220212_223600.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220212_223600.hifi_reads.fastq.gz	total_length_grt_0bp	37600324968.0	20220418_UW_HiFi/HG00171/m54329U_220212_223600.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220212_223600.hifi_reads.fastq.gz	total_length_grt_15kbp	33898213054.0	20220418_UW_HiFi/HG00171/m54329U_220212_223600.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220212_223600.hifi_reads.fastq.gz	total_num_grt_0bp	1888830.0	20220418_UW_HiFi/HG00171/m54329U_220212_223600.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220212_223600.hifi_reads.fastq.gz	total_num_grt_15kbp	1624753.0	20220418_UW_HiFi/HG00171/m54329U_220212_223600.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220214_093304.hifi_reads.fastq.gz	cov_xfold_grt_0bp_at_3Gbp	12.2	20220418_UW_HiFi/HG00171/m54329U_220214_093304.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220214_093304.hifi_reads.fastq.gz	cov_xfold_grt_15kbp_at_3Gbp	11.0	20220418_UW_HiFi/HG00171/m54329U_220214_093304.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220214_093304.hifi_reads.fastq.gz	length_N50_grt_0bp	20229.0	20220418_UW_HiFi/HG00171/m54329U_220214_093304.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220214_093304.hifi_reads.fastq.gz	total_length_grt_0bp	36632357939.0	20220418_UW_HiFi/HG00171/m54329U_220214_093304.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220214_093304.hifi_reads.fastq.gz	total_length_grt_15kbp	33041506631.0	20220418_UW_HiFi/HG00171/m54329U_220214_093304.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220214_093304.hifi_reads.fastq.gz	total_num_grt_0bp	1839826.0	20220418_UW_HiFi/HG00171/m54329U_220214_093304.hifi_reads.fastq.gz	1
HG00171	hifi	m54329U_220214_093304.hifi_reads.fastq.gz	total_num_grt_15kbp	1583837.0	20220418_UW_HiFi/HG00171/m54329U_220214_093304.hifi_reads.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	cov_xfold_grt_0bp_at_3Gbp	6.3	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	cov_xfold_grt_100kbp_at_3Gbp	4.7	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	length_N50_grt_0bp	189110.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	length_N50_grt_100kbp	248182.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	total_length_grt_0bp	18803145779.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	total_length_grt_100kbp	13995879797.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	total_num_grt_0bp	262443.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	total_num_grt_100kbp	63036.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	cov_xfold_grt_0bp_at_3Gbp	5.2	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
