# 20240814T1926
sample	datatype	filename	matched_name	match_quality	file_accession	project_accession	reuse_data	df_idx
HG00096	hifi	JAX_HiFi_HG00096_m64039_220211_040031	exact-match	exact-match	ERR10966401	PRJEB58376	yes	446
HG00096	hifi	JAX_HiFi_HG00096_m64039_220218_071556	exact-match	exact-match	ERR10966400	PRJEB58376	yes	445
HG00096	hifi	JAX_HiFi_HG00096_m64119_220224_171953	exact-match	exact-match	ERR10966402	PRJEB58376	yes	444
HG00096	ont	20220405_220329_21-lee-006_PC24B149_3D_guppy-5.0.11-sup-prom_fastq_pass	exact-match	exact-match	ERR11028129	PRJEB58376	yes	451
HG00096	ont	20220408_220405_21-lee-006_PC24B149_2D_guppy-5.0.11-sup-prom_fastq_pass	exact-match	exact-match	ERR11028108	PRJEB58376	yes	450
HG00096	ont	20220412_220407_21-lee-006_PC24B149_2D_guppy-5.0.11-sup-prom_fastq_pass	exact-match	exact-match	ERR11028144	PRJEB58376	yes	449
HG00096	ont	20230418_230412_23-lee-007_PC24B149_2C_guppy-5.0.11-sup-prom_fastq_pass	exact-match	exact-match	ERR12954396	PRJEB75216	yes	448
HG00171	hifi	m54329U_220205_003428.hifi_reads	exact-match	exact-match	ERR13491747	PRJEB77558	yes	195
HG00171	hifi	m54329U_220212_223600.hifi_reads	exact-match	exact-match	ERR13491748	PRJEB77558	yes	194
HG00171	hifi	m54329U_220214_093304.hifi_reads	exact-match	exact-match	ERR13491749	PRJEB77558	yes	193
HG00171	ont	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass	exact-match	exact-match	ERR13491750	PRJEB77558	yes	208
HG00171	ont	20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass	exact-match	exact-match	ERR13491751	PRJEB77558	yes	207
HG00171	ont	20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass	exact-match	exact-match	ERR13491752	PRJEB77558	yes	206
HG00171	ont	20221011_HG00171_UL_eee-prom1-1A-PAM78120_guppy-5.0.11-sup-prom_fastq_pass	exact-match	exact-match	ERR13491753	PRJEB77558	yes	205
HG00171	ont	20221011_HG00171_UL_eee-prom1-1B-PAM78131_guppy-5.0.11-sup-prom_fastq_pass	exact-match	exact-match	ERR13491754	PRJEB77558	yes	204
HG00171	ont	20221013_HG00171_UL_eee-prom1-1A-PAM78120_guppy-5.0.11-sup-prom_fastq_pass	exact-match	exact-match	ERR13491755	PRJEB77558	yes	203
HG00171	ont	20221013_HG00171_UL_eee-prom1-1B-PAM78131_guppy-5.0.11-sup-prom_fastq_pass	exact-match	exact-match	ERR13491756	PRJEB77558	yes	202
HG00171	ont	20221018_HG00171_UL_eee-prom1-1A-PAM70063_guppy-5.0.11-sup-prom_fastq_pass	exact-match	exact-match	ERR13491757	PRJEB77558	yes	201
HG00171	ont	20221101_HG00171_UL_eee-prom1-1A-PAM78908_guppy-5.0.11-sup-prom_fastq_pass	exact-match	exact-match	ERR13491758	PRJEB77558	yes	200
HG00171	ont	20221213_HG00171_UL_eee-prom1-2A-PAG67767_guppy-5.0.11-sup-prom_fastq_pass	exact-match	exact-match	ERR13491759	PRJEB77558	yes	199
HG00171	ont	20221214_HG00171_UL_eee-prom1-2A-PAG67767_guppy-5.0.11-sup-prom_fastq_pass	exact-match	exact-match	ERR13491760	PRJEB77558	yes	198
HG00268	hifi	JAX_HiFi_HG00268_m64039_210116_000705	exact-match	exact-match	ERR12953027	PRJEB75190	yes	591
HG00268	hifi	JAX_HiFi_HG00268_m64119_210113_164007	exact-match	exact-match	ERR12953012	PRJEB75190	yes	590
HG00268	hifi	JAX_HiFi_HG00268_m64119_210121_165545	exact-match	exact-match	ERR12953010	PRJEB75190	yes	589
