# 20240201T1231
# SOURCE PREFIX PATHS
# IGSR:HGSVC2: 'ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2'
# IGSR:HGSVC3: 'ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3'
# AWS:HPRC: 's3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix='
# TMP:HHU:GLOBUS:UUID:5f441149-3339-4c4b-be1b-64c87d62a1e2
# Total HGSVC3 samples: 65
# Verkko batch 1: 38 samples
# Verkko batch 2: 15 samples
# Verkko batch 3: 12 samples
SIN	hgsvc_sample_number	sample	phase	verkko_assembly_batch	population	supergroup	family	member	sex	is_child	datatype	filename	remote_path	accession	igsr_folder_exists	igsr_file_exists	cov_xfold_grt_0bp_at_3Gbp	total_length_grt_0bp	total_num_grt_0bp	length_N50_grt_0bp	length_auN_grt_0bp	cov_xfold_grt_100kbp_at_3Gbp	total_num_grt_100kbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_num_grt_1Mbp
SIN:19238	1	NA19238	Yr1	3	YRI	AFR	Y117	mother	female	False	hifi	m64119e_230601_192211.hifi_reads.fastq.gz	IGSR:HGSVC3:/working/20220831_JAX_HiFi/NA19238	unknown	yes	no	15.0	44986832134	2481859	18637	19169	0.0	0	0	0	0
SIN:19238	1	NA19238	Yr1	3	YRI	AFR	Y117	mother	female	False	hifi	m64119e_230531_095655.hifi_reads.fastq.gz	IGSR:HGSVC3:/working/20220831_JAX_HiFi/NA19238	unknown	yes	no	14.8	44305746605	2463056	18483	19032	0.0	0	0	0	0
SIN:19238	1	NA19238	Yr1	3	YRI	AFR	Y117	mother	female	False	hifi	m64119e_230519_064527.hifi_reads.fastq.gz	IGSR:HGSVC3:/working/20220831_JAX_HiFi/NA19238	unknown	yes	no	13.6	40756067574	2296487	18207	18780	0.0	0	0	0	0
SIN:19238	1	NA19238	Yr1	3	YRI	AFR	Y117	mother	female	False	hifi	m54329U_230421_162210-bc2060.hifi_reads.fastq.gz	IGSR:HGSVC3:/working/20230703_HGSVC_EEE_HIFI/NA19238	unknown	yes	no	14.3	42865336189	2022274	21248	22102	0.0	0	0	0	0
SIN:19238	1	NA19238	Yr1	3	YRI	AFR	Y117	mother	female	False	hifi	m54329U_230420_071335-bc2060.hifi_reads.fastq.gz	IGSR:HGSVC3:/working/20230703_HGSVC_EEE_HIFI/NA19238	unknown	yes	no	13.6	40735687010	1922211	21245	22093	0.0	0	0	0	0
SIN:19238	1	NA19238	Yr1	3	YRI	AFR	Y117	mother	female	False	hifi	m54329U_230418_220048-bc2060.hifi_reads.fastq.gz	IGSR:HGSVC3:/working/20230703_HGSVC_EEE_HIFI/NA19238	unknown	yes	no	13.3	40010219860	1880120	21353	22198	0.0	0	0	0	0
SIN:19238	1	NA19238	Yr1	3	YRI	AFR	Y117	mother	female	False	hifi	all	unknown	unknown	no	no	110.5	331548348097	19337052	18212	18722	0.0	0	0	0	0
SIN:19238	1	NA19238	Yr1	3	YRI	AFR	Y117	mother	female	False	hifi	NA19238_20191205_CLEE_m64039_190901_163200.ccs.fastq.gz	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown	yes	yes	3.7	11021691210	1099763	10048	10058	0.0	0	0	0	0
SIN:19238	1	NA19238	Yr1	3	YRI	AFR	Y117	mother	female	False	hifi	NA19238_20191205_CLEE_m64039_190831_102034.ccs.fastq.gz	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown	yes	yes	3.8	11279649739	937823	12062	12092	0.0	0	0	0	0
SIN:19238	1	NA19238	Yr1	3	YRI	AFR	Y117	mother	female	False	hifi	NA19238_20191205_CLEE_m64039_190830_040857.ccs.fastq.gz	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown	yes	yes	5.0	15088968137	1321290	11456	11486	0.0	0	0	0	0
SIN:19238	1	NA19238	Yr1	3	YRI	AFR	Y117	mother	female	False	hifi	NA19238_20191205_CLEE_m64039_190828_220241.ccs.fastq.gz	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown	yes	yes	4.0	12048795117	1059103	11409	11448	0.0	0	0	0	0
SIN:19238	1	NA19238	Yr1	3	YRI	AFR	Y117	mother	female	False	hifi	NA19238_20191205_CLEE_m64039_190818_202358.ccs.fastq.gz	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown	yes	yes	0.5	1501789398	101690	14741	14901	0.0	0	0	0	0
SIN:19238	1	NA19238	Yr1	3	YRI	AFR	Y117	mother	female	False	hifi	NA19238_20191205_CLEE_m64039_190817_141701.ccs.fastq.gz	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown	yes	yes	1.9	5799293861	391331	14796	14952	0.0	0	0	0	0
SIN:19238	1	NA19238	Yr1	3	YRI	AFR	Y117	mother	female	False	hifi	NA19238_20191205_CLEE_m54336U_191017_101413.ccs.fastq.gz	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown	yes	yes	3.3	9885624546	636329	15712	15744	0.0	0	0	0	0
