# 20240201T0908
# SOURCE PREFIX PATHS
# IGSR:HGSVC2: 'ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2'
# IGSR:HGSVC3: 'ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3'
# AWS:HPRC: 's3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix='
SIN	hgsvc_sample_number	phase	sample	family	member	population	supergroup	sex	is_child	verkko_assembly_batch	datatype	remote_path	remote_collection	accession
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	unknown
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	ont	unknown	unknown	unknown
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	strandseq	unknown	unknown	unknown
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	hifi	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19239_HIFI	20191205_YRI_PacBio_NA19239_HIFI	PRJEB58376
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	ont	IGSR:HGSVC3:/working/20211013_ONT_Rebasecalled	20211013_ONT_Rebasecalled	PRJEB58376
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	strandseq	unknown	unknown	PRJEB12849
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	hifi	unknown	unknown	unknown
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	ont	unknown	unknown	unknown
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	strandseq	unknown	unknown	unknown
SIN:00731	4	Yr1	HG00731	PR05	father	PUR	AMR	male	False	2	hifi	IGSR:HGSVC2:/working/20190925_PUR_PacBio_HiFi	20190925_PUR_PacBio_HiFi	PRJEB58376
