# 20240201T1155
# SOURCE PREFIX PATHS
# IGSR:HGSVC2: 'ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2'
# IGSR:HGSVC3: 'ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3'
# AWS:HPRC: 's3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix='
SIN	hgsvc_sample_number	phase	sample	family	member	population	supergroup	sex	is_child	verkko_assembly_batch	datatype	remote_collection	accession	join_key	filename	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	subfolder	remote_path	igsr_folder_exists	igsr_file_exists	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_num_grt_100kbp	total_num_grt_1Mbp
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	NA19238_20191205_CLEE_m54336U_191015_222230.ccs.fastq.gz	3.8	15741	15776	11262646717	723716	20191205_YRI_PacBio_NA19238_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	yes	yes	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	NA19238_20191205_CLEE_m54336U_191017_101413.ccs.fastq.gz	3.3	15712	15744	9885624546	636329	20191205_YRI_PacBio_NA19238_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	yes	yes	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	NA19238_20191205_CLEE_m64039_190817_141701.ccs.fastq.gz	1.9	14796	14952	5799293861	391331	20191205_YRI_PacBio_NA19238_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	yes	yes	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	NA19238_20191205_CLEE_m64039_190818_202358.ccs.fastq.gz	0.5	14741	14901	1501789398	101690	20191205_YRI_PacBio_NA19238_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	yes	yes	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	NA19238_20191205_CLEE_m64039_190828_220241.ccs.fastq.gz	4.0	11409	11448	12048795117	1059103	20191205_YRI_PacBio_NA19238_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	yes	yes	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	NA19238_20191205_CLEE_m64039_190830_040857.ccs.fastq.gz	5.0	11456	11486	15088968137	1321290	20191205_YRI_PacBio_NA19238_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	yes	yes	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	NA19238_20191205_CLEE_m64039_190831_102034.ccs.fastq.gz	3.8	12062	12092	11279649739	937823	20191205_YRI_PacBio_NA19238_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	yes	yes	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	NA19238_20191205_CLEE_m64039_190901_163200.ccs.fastq.gz	3.7	10048	10058	11021691210	1099763	20191205_YRI_PacBio_NA19238_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	yes	yes	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	m54329U_230418_220048-bc2060.hifi_reads.fastq.gz	13.3	21353	22198	40010219860	1880120	20230703_HGSVC_EEE_HIFI/NA19238	IGSR:HGSVC3:/working/20230703_HGSVC_EEE_HIFI/NA19238	yes	no	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	m54329U_230420_071335-bc2060.hifi_reads.fastq.gz	13.6	21245	22093	40735687010	1922211	20230703_HGSVC_EEE_HIFI/NA19238	IGSR:HGSVC3:/working/20230703_HGSVC_EEE_HIFI/NA19238	yes	no	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	m54329U_230421_162210-bc2060.hifi_reads.fastq.gz	14.3	21248	22102	42865336189	2022274	20230703_HGSVC_EEE_HIFI/NA19238	IGSR:HGSVC3:/working/20230703_HGSVC_EEE_HIFI/NA19238	yes	no	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	m64119e_230519_064527.hifi_reads.fastq.gz	13.6	18207	18780	40756067574	2296487	20220831_JAX_HiFi/NA19238	IGSR:HGSVC3:/working/20220831_JAX_HiFi/NA19238	yes	no	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	m64119e_230531_095655.hifi_reads.fastq.gz	14.8	18483	19032	44305746605	2463056	20220831_JAX_HiFi/NA19238	IGSR:HGSVC3:/working/20220831_JAX_HiFi/NA19238	yes	no	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	m64119e_230601_192211.hifi_reads.fastq.gz	15.0	18637	19169	44986832134	2481859	20220831_JAX_HiFi/NA19238	IGSR:HGSVC3:/working/20220831_JAX_HiFi/NA19238	yes	no	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	ont	unknown	unknown	75adf25d6941c439aa1205b6f51b0885	20230509_GM19238_UL_eee-prom1-2F-PAO54661_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	13.8	163961	197462	41296610699	478879	20230706_HGSVC_EEE_UL_ONT/GM19238	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19238	yes	yes	9.9	215388	252249	147487	12
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	ont	unknown	unknown	75adf25d6941c439aa1205b6f51b0885	20230509_GM19238_UL_eee-prom1-2G-PAO54700_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	12.9	174222	208380	38849937613	452360	20230706_HGSVC_EEE_UL_ONT/GM19238	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19238	yes	yes	9.6	224913	261944	138435	17
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	ont	unknown	unknown	75adf25d6941c439aa1205b6f51b0885	20230509_GM19238_UL_eee-prom1-2H-PAO54690_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	12.4	166807	198609	37054332117	425841	20230706_HGSVC_EEE_UL_ONT/GM19238	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19238	yes	yes	9.0	217737	251790	133216	12
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	ont	unknown	unknown	75adf25d6941c439aa1205b6f51b0885	20230516_GM19238_UL_eee-prom1-3C-PAO38706_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	11.2	155716	184187	33636338951	385700	20230706_HGSVC_EEE_UL_ONT/GM19238	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19238	yes	yes	7.9	205033	236561	122751	3
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	ont	unknown	unknown	75adf25d6941c439aa1205b6f51b0885	20230518_GM19238_UL_eee-prom1-1C-PAO38706_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	4.9	132334	155302	14822191130	189069	20230706_HGSVC_EEE_UL_ONT/GM19238	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19238	yes	yes	3.2	182305	208411	54040	0
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	hifi	20191205_YRI_PacBio_NA19239_HIFI	PRJEB58376	0084eee3b48a9c5f8aedae509138c28d	NA19239_20191205_CLEE_m54336U_191005_142313.ccs.fastq.gz	7.3	16766	16843	21765178943	1311115	20191205_YRI_PacBio_NA19239_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19239_HIFI	yes	yes	0.0	0	0	0	0
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	hifi	20191205_YRI_PacBio_NA19239_HIFI	PRJEB58376	0084eee3b48a9c5f8aedae509138c28d	NA19239_20191205_CLEE_m54336U_191007_123158.ccs.fastq.gz	1.9	16860	16929	5603146805	335706	20191205_YRI_PacBio_NA19239_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19239_HIFI	yes	yes	0.0	0	0	0	0
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	hifi	20191205_YRI_PacBio_NA19239_HIFI	PRJEB58376	0084eee3b48a9c5f8aedae509138c28d	NA19239_20191205_CLEE_m64039_190823_190750.ccs.fastq.gz	6.4	14149	14242	19118505988	1350773	20191205_YRI_PacBio_NA19239_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19239_HIFI	yes	yes	0.0	0	0	0	0
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	hifi	20191205_YRI_PacBio_NA19239_HIFI	PRJEB58376	0084eee3b48a9c5f8aedae509138c28d	NA19239_20191205_CLEE_m64039_190910_140737.ccs.fastq.gz	3.2	14134	14227	9488845298	671638	20191205_YRI_PacBio_NA19239_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19239_HIFI	yes	yes	0.0	0	0	0	0
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	hifi	20191205_YRI_PacBio_NA19239_HIFI	PRJEB58376	0084eee3b48a9c5f8aedae509138c28d	NA19239_20191205_CLEE_m64039_190911_201425.ccs.fastq.gz	3.4	11710	11725	10290895343	880841	20191205_YRI_PacBio_NA19239_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19239_HIFI	yes	yes	0.0	0	0	0	0
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	hifi	20191205_YRI_PacBio_NA19239_HIFI	PRJEB58376	0084eee3b48a9c5f8aedae509138c28d	NA19239_20191205_CLEE_m64039_190915_204135.ccs.fastq.gz	2.1	12049	12095	6216854155	517170	20191205_YRI_PacBio_NA19239_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19239_HIFI	yes	yes	0.0	0	0	0	0
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	hifi	20191205_YRI_PacBio_NA19239_HIFI	PRJEB58376	0084eee3b48a9c5f8aedae509138c28d	NA19239_20191205_CLEE_m64039_190917_025247.ccs.fastq.gz	2.9	12039	12086	8587655408	714831	20191205_YRI_PacBio_NA19239_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19239_HIFI	yes	yes	0.0	0	0	0	0
