SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	QV_MEAN	QV_MED	QV_MAX	PASS_MEAN	PASS_MED	PASS_MAX
HG02666	JAX_HiFi_HG02666_m64039_210625_190927	1677361	26205378020	15622.9803959911	14831	15650	49	59286	3767.36722889672	33.7232401742949	33.8179877517557	60	11.3627358690228	11	60
HG02666	JAX_HiFi_HG02666_m64119_210708_195851	648260	9555187596	14739.7457748434	14113	14716	85	50320	3256.26790095304	31.69105316694	31.1278561960287	60	11.5255622743961	11	60
HG02666	JAX_HiFi_HG02666_m64119_211014_041558	2038674	31138152006	15273.7279260931	14499	15275	49	64513	3677.91707360702	32.2705249770578	31.6315433405071	60	10.5862781396143	9	60
HG02666	JAX_HiFi_HG02666_m64119_210721_205857	1601233	24134871042	15072.6790179818	14403	15102	49	55674	3451.41395237491	34.8970377700886	35.2410270025349	60	11.8986555985294	11	60
HG02666	JAX_HiFi_HG02666_m64039_210730_180618	1919054	29706249965	15479.6321338535	14662	15490	49	60993	3822.78900847219	33.8105367086746	33.6486137545456	60	11.0419295131872	10	60
HG02666	JAX_HiFi_HG02666_m64119_210629_170837	1571499	24818001037	15792.5655931057	14991	15832	51	58834	3851.72521443762	31.5128903231219	31.0371846094591	60	9.94606296281448	9	60
HG02666	JAX_HiFi_HG02666_m64119_211010_035538	2458621	38600111177	15699.9029850473	14875	15736	47	64141	3900.35646692279	33.369044604323	33.426509514994	60	11.1627477354175	10	60
NA18989	JAX_HiFi_NA18989_m64039_210616_161955	1220444	19420111310	15912.3329788175	15059	15867	53	60497	3916.2916998702	29.8230818838998	28.9836354990116	60	9.31520086132588	9	60
NA18989	JAX_HiFi_NA18989_m64119_211012_184602	2211903	34734869833	15703.6135097244	14834	15627	83	68343	3907.38618296395	32.8003659030539	32.368302859378	60	10.5989286148624	9	60
NA18989	JAX_HiFi_NA18989_m64039_211119_203548	2230901	35808029033	16050.9269721068	15090	15972	45	68339	4207.93089251849	33.8422137422556	34.4411459009658	60	12.2475824790074	12	60
NA18989	JAX_HiFi_NA18989_m64119_211008_181054	2204525	34811240999	15790.8125328586	14916	15720	84	64465	3952.62132874135	32.8934292272724	32.4759099535487	60	10.6631492044772	10	60
NA18989	JAX_HiFi_NA18989_m64039_210508_014218	918303	18297059789	19924.8611721839	18632	20072	46	50453	5538.48989165156	30.5254035895628	30.531982084851	60	8.67563429499849	8	726
NA18989	JAX_HiFi_NA18989_m64039_210506_192609	1219120	23109623546	18955.9875533172	17695	18891	45	50478	5098.42282853229	30.9641027734787	31.0086825496846	60	9.04163823085504	9	1516
NA18989	JAX_HiFi_NA18989_m64119_210501_214725	1722460	33960900690	19716.5105082266	18371	19802	46	50550	5518.81147638869	30.6028963919156	30.505146689954	60	8.77010786897809	8	1481
NA19317	JAX_HiFi_NA19317_m64039_210617_232851	1074768	20393857165	18975.1250176782	18096	19540	86	63274	5047.9619068705	28.4181859365284	27.5397139255456	60	8.20776390811785	7	60
NA19317	JAX_HiFi_NA19317_m64119_220501_151001	1125135	17434000188	15495.0296524417	14573	15565	45	60105	4115.6821678446	35.9877183034587	36.6171370887375	60	13.3141498575727	13	60
NA19317	JAX_HiFi_NA19317_m64119_220521_031347	1880804	37101962713	19726.6502586128	18260	20357	45	68219	6460.64969131942	31.881683060854	31.662179525059	60	9.9937377844794	9	60
NA19317	JAX_HiFi_NA19317_m64119_220506_185510	2394124	39069385820	16318.8647789338	15323	16569	42	62674	4540.33091236072	33.4685669626956	33.3868062036911	60	11.0158329309593	10	60
NA19317	JAX_HiFi_NA19317_m64039_210607_200243	1262453	27655496888	21906.159586139	20947	22698	481	63960	5891.6014745182	29.0729914803098	28.6416434753288	60	8.14631356573274	8	60
NA19317	JAX_HiFi_NA19317_m64039_210601_195743	1598809	31592690259	19760.1403663602	18542	19995	86	66222	5288.17935647583	30.5294698225498	30.4051128282405	60	8.82995905076842	8	60
NA19317	JAX_HiFi_NA19317_m64119_210702_094450	1195688	23630140408	19762.7979941256	18944	20486	86	63297	5269.12015460746	31.1575788425556	31.0454095746443	60	9.01178568322171	8	60
HG01457	JAX_HiFi_HG01457_m64039_210627_040723	1621207	26944962590	16620.309800044	15642	16570	83	63351	4132.92681128467	30.9330556338071	30.2499213712849	60	9.51010019078378	9	60
HG01457	JAX_HiFi_HG01457_m64119_210710_045611	1707178	27831909828	16302.8751706032	15330	16211	49	58823	4004.83956796673	34.1173097131427	34.4671343451204	60	11.3985132188911	11	60
HG01457	JAX_HiFi_HG01457_m64119_210723_055657	1288139	20161246105	15651.4522928038	14812	15456	83	57112	3572.03754546119	34.8659430578965	35.6795111666953	60	12.240582732143	12	60
