SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	N_10K	SUM_10K	N_100K	SUM_100K	N_1M	SUM_1M	QV_MEAN	QV_MED	QV_MAX
HG00731	20220510_220504_21-lee-006_PC24B149_3C	299723	17988955484	60018.6021226266	28390	138325	100	915124	80574.5898438324	206184	17644031931	60396	11483201809	0	0	15.1531574705992	15.3278921434042	52.1656504636657
HG00731	20220510_220505_21-lee-006_PC24B149_3C	892957	49544043330	55483.1232970905	19894	149957	15	1155199	82837.6160858868	568292	48268988669	163641	32612985966	6	6455623	15.5849040594265	15.8400189630109	49.1345137101163
HG00731	20220511_220506_21-lee-006_PC24B149_1D	238862	14614573010	61184.1691436897	35789	118789	24	820783	72227.652068776	186733	14373718087	47554	8451688673	0	0	14.3634084862271	14.2857143786748	60
HG00731	20220510_220504_21-lee-006_PC24B149_1D	519187	27732221090	53414.7062426448	25484	122426	21	1064748	71824.7030235299	347927	27110963286	90430	16333477967	1	1064748	15.0811074327701	15.2438620222185	42.4541464471356
HG01505	20220408_220405_21-lee-006_PC24B149_3F	537977	29921074880	55617.7585287103	23365	135947	18	1032135	74858.7374418296	337553	29253015909	106914	19285977516	1	1032135	15.4108441206615	15.629822029737	52.0703158459196
HG01505	20220405_220329_21-lee-006_PC24B149_3F	1464684	91540711392	62498.6081584833	28346	147571	21	1262352	82853.1077055008	963347	89835843380	328055	61975138726	5	5524627	15.5874027055582	15.78243860016	54.935918774329
HG01505	20220408_220406_21-lee-006_PC24B149_1F	241587	19177244354	79380.282689052	51008	151006	71	919654	85225.1363607601	191659	18972838686	72619	13442518976	0	0	14.6763753948742	14.7091235167847	53.5480616007335
HG01505	20220412_220407_21-lee-006_PC24B149_1F	279128	16455368476	58952.7688945573	26898	138501	47	946303	76917.9763253967	183925	16114788537	59015	10735717639	0	0	14.3077099016788	14.2391537417587	39.543021380639
HG01596	20220511_220506_21-lee-006_PC24B149_2D	94783	6349146233	66986.1286623129	39091	133190	31	916255	77384.5199991002	73630	6259445020	22333	4031033691	0	0	14.7272232871035	14.776969007628	57.5939249792829
HG01596	20220515_220510_21-lee-006_PC24B149_2E	434801	29532877386	67922.7448556926	34554	150548	26	956977	85424.9254497644	308809	29082777949	105802	20193921724	0	0	15.6436806662479	15.8925597326576	60
HG01596	20220518_220512_21-lee-006_PC24B149_3C	132900	6858185735	51604.106358164	24709	118661	23	670535	67962.8063690475	87231	6702039736	22753	3965933542	0	0	15.1897445725699	15.3583763073133	53.7144562322552
HG01596	20220510_220504_21-lee-006_PC24B149-2E	560960	37390760942	66654.9503387051	33180	148678	70	1304315	85072.3469656817	402789	36791300029	130824	25145468551	4	4688352	15.9805014602457	16.3225529693731	51.6355632192581
HG00096	20220412_220407_21-lee-006_PC24B149_2D	76770	4656100916	60650.0054187834	26529	145944	66	864011	80552.3695372512	50491	4561673680	16571	3118823564	0	0	14.7794413380687	14.8596360946705	44.6650529355433
HG00096	20220405_220329_21-lee-006_PC24B149_3D	669066	37757487256	56433.128056126	26933	130681	28	942281	74930.9655665411	455843	36986736511	125900	23191659125	0	0	15.8385797361296	16.0810425546375	60
HG00096	20220408_220405_21-lee-006_PC24B149_2D	441434	32324937975	73227.1143024778	35180.5	168745	60	1152381	91348.7171358461	303478	31845056444	120720	23741936073	1	1152381	15.3684587571696	15.5854461871376	51.7330107105649
HG00358	20220211_220202_21-lee-006_PC24B149_1F	916020	69412998933	75776.7286009039	36435	173584	17	1363692	97366.9305324533	649945	68434078178	248032	50872245293	19	21923829	14.874975150735	14.9801948079762	58.0215178825688
HG00358	20220315_220308_21-lee-006_PC24B149_3D	1162358	69637344019	59910.4097180043	28669	136526	10	1143896	79638.3553053973	828119	68292594686	230982	43897172060	6	6488474	14.9428714678799	15.0031230795486	56.3730172070282
HG00358	20220215_220209_21-lee-006_PC24B149_2E	441852	32898583468	74456.115323683	34866.5	173372	16	1195590	97375.5276180137	306686	32438116441	117795	24147621595	20	21173627	15.1507806698661	15.3218809674758	60
HG00512	20220503_220429_21-lee-006_PC24B149_1D	461603	24785985737	53695.4606815814	23962	128428	57	887197	72409.5409042638	295395	24247770691	85379	15267714452	0	0	15.0812026309894	15.2232034757752	60
HG00512	20220425_220420_21-lee-006_PC24B149_3F	1188329	70162313584	59042.8354302554	26353	140802	94	1180079	78768.6324640629	770454	68807640937	250219	46193528447	3	3240191	14.789473431487	14.8808511523497	52.5088002756885
HG00512	20220503_220427_21-lee-006_PC24B149_3E	471788	24953438454	52891.2105733931	22632	128699	18	966426	72245.8219985993	295710	24395622951	86182	15408050737	0	0	15.1748481700109	15.3340880623349	60
HG00733	20220228_220223_21-lee-006_PC24B149_1F	268587	15053942567	56048.6641833	23492	136921	51	972705	77953.2071511536	171048	14717521268	51623	9633182669	0	0	15.4092186192706	15.6540227625886	49.2499834365204
HG00733	20220223_220216_21-lee-006_PC24B149_3F	1274569	78827809245	61846.6393306286	30863	138292	22	1088081	79911.3756117857	894241	77415907510	271780	50741500111	2	2109644	15.4159576297458	15.6618604533069	54.3549457850486
HG00733	20220304_220224_21-lee-006_PC24B149_3D	948933	59105032133	62285.7800635029	30620	139838	25	1884450	81898.033181281	673103	58049980774	199882	38057959240	7	9902367	14.9759387276338	15.0744199790847	60
