sample	cell
NA19239	m54336U_191005_142313
NA19239	m54336U_191007_123158
NA19239	m64039_190823_190750
NA19239	m64039_190910_140737
NA19239	m64039_190911_201425
NA19239	m64039_190915_204135
NA19239	m64039_190917_025247
NA19238	m54336U_191015_222230
NA19238	m54336U_191017_101413
NA19238	m64039_190817_141701
NA19238	m64039_190818_202358
NA19238	m64039_190828_220241
NA19238	m64039_190830_040857
NA19238	m64039_190831_102034
NA19238	m64039_190901_163200
NA19240	m54336U_190827_013439
NA19240	m54336U_190828_075428
NA19240	m54336U_190829_230546
NA19240	m64039_190922_223056
NA19240	m64039_190930_063309
