sample	cell	pacbio_cell
HG00513	S64018_PL100139348-1_B01	m64018_190922_030052
HG00513	20190920_S64018_PL100139348-1_D01	m64018_190925_051924
HG00513	S64018_PL100139348-1_C01	m64018_191007_083728
HG00513	20191004_S64018_PL100139348-1_D01	m64018_191008_144845
HG00513	S64049_PL100139348-2_C01	m64049_191010_100115
HG00513	S64049_PL100139348-2_D01	m64049_191011_141157
HG00512	S64018_PL100139347-1_A01	m64018_190920_135301
HG00512	S64018_PL100139347-1_C01	m64018_190923_160941
HG00512	S64018_PL100139347-2_A01	m64018_191004_200133
HG00512	S64018_PL100139347-2_B01	m64018_191006_020752
HG00512	S64049_PL100139347-2_A01	m64049_191007_210217
HG00512	S64049_PL100139347-2_B01	m64049_191009_041412
