sample	cell	pacbio_id
GM19434	EDEVI_20210820_S64049_PL100192554-1_B01	m64049_210822_023857
GM19434	EDEVI_20211130_S64049_PL100216561-1_C01	m64049_211203_122234
GM19434	EDEVI_20211130_S64049_PL100216561-1_D01	m64049_211204_222036
GM19434	EDEVI_20220125_S64049_PL100216561-3_A01	m64049_220125_174906
GM19434	EDEVI_20220125_S64049_PL100216561-3_B01	m64049_220127_034342
GM19836	EDEVI_20210902_S64049_PL100193594-1_F01	m64049_210909_081018
GM19836	EDEVI_20211001_S64018_PL100179097A-1_C01	m64018_211003_030508
GM19836	EDEVI_20211103_S64018_PL100179097A-2_D01	m64018_211107_161400
GM19836	EDEVI_20211122_S64018_PL100179097A-2_B01	m64018_211124_014608
HG02282	EDEVI_20210402_S64049_PL100170204-1_A01	m64049_210402_154616
HG02282	EDEVI_20210402_S64049_PL100170204-1_C01	m64049_210405_042730
HG02282	EDEVI_20210412_S64018_PL100170204-3_B01	m64018_210413_123812
HG02282	EDEVI_20210412_S64018_PL100170204-3_C01	m64018_210414_191731
HG02282	EDEVI_20210907_S64018_PL100194356-1_D01	m64018_210911_172414
HG02282	EDEVI_20211019_S64049_PL100194356-2_A01	m64049_211019_192100
HG03520	EDEVI_20210402_S64049_PL100170205-1_B01	m64049_210403_220024
HG03520	EDEVI_20210427_S64018_PL100170205A-1_A01	m64018_210427_142021
HG03520	EDEVI_20210603_S64018_PL100170205A-3_A01	m64018_210603_200443
HG03520	EDEVI_20210924_S64018_PL100194882-1_B01	m64018_210926_032513
HG03520	EDEVI_20210924_S64018_PL100194882-1_C01	m64018_210927_103807
HG03520	EDEVI_20211019_S64049_PL100194881-1_B01	m64049_211021_025127
