	SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	N_10K	SUM_10K	N_100K	SUM_100K	N_1M	SUM_1M	QV_MEAN	QV_MED	QV_MAX
0	HG00732	20221214_HG00732_UL_eee-prom1-2E-PAG68402_guppy-5.0.11-sup-prom_fastq_pass	393021	26101521046	66412.5353250844	38848	134119	36	1400210	77951.8864893329	290318	25693275227	93325	16770801490	1	1400210	15.1370965932903	15.3820936655824	27.3941367537562
1	HG00732	20221228_HG00732_UL_eee-prom1-2A-PAG65779_guppy-5.0.11-sup-prom_fastq_pass	260663	13746032577	52734.8821159888	23928	124820	11	868038	70046.2163156997	180561	13421310570	45462	8170494724	0	0	15.4263827888598	15.6508419166763	32.5700121665648
2	HG00732	20221214_HG00732_UL_eee-prom1-2B-PAG65793_guppy-5.0.11-sup-prom_fastq_pass	380869	24835313123	65206.9691232419	42284	120769	24	1402009	70944.7000049564	301243	24531254177	86586	14811796363	4	4478810	15.3028545277796	15.5610485259807	27.3681145672279
3	HG00732	20221213_HG00732_UL_eee-prom1-2B-PAG65793_guppy-5.0.11-sup-prom_fastq_pass	306626	26378799819	86029.2337212109	60530.5	150064	21	1796297	87492.1658763368	257328	26187956383	99670	18517153835	8	10740292	15.8271602120876	16.2326032540021	31.0751952360419
4	HG00732	20221220_HG00732_UL_eee-prom1-2C-PAG67955_guppy-5.0.11-sup-prom_fastq_pass	533923	45356130128	84948.8224481807	63565	143503	16	1442009	80397.7067119905	450414	45067279211	177734	31408160137	4	4968388	15.5782311754023	15.9118037088933	27.8065105406211
5	HG01573	20221013_HG01573_UL_eee-prom1-1G-PAM78202_guppy-5.0.11-sup-prom_fastq_pass	296876	15703536824	52895.9458629192	23815	127319	38	815972	70605.1644954706	183033	15461731817	56133	9750603030	0	0	15.2326514303962	15.4296876093165	28.5606482539164
6	HG01573	20220920_HG01573_UL_eee-prom1-1C-PAM64632_guppy-5.0.11-sup-prom_fastq_pass	434037	21663862099	49912.4777357691	17549	133258	12	970022	75670.0573874607	249114	21256325488	72809	13603246508	0	0	15.1239604424316	15.1915244940809	30.7439623242918
7	HG01573	20230207_HG01573_UL_eee-prom1-3A-PAG84447_guppy-5.0.11-sup-prom_fastq_pass	1276948	30841927343	24152.8451769375	1965	103835	22	1749280	49207.2087916915	417542	29420353314	96347	15979310213	5	6645363	14.6829247863529	14.6463440862516	31.3953470231618
8	HG01573	20221012_HG01573_UL_eee-prom1-1G-PAM78202_guppy-5.0.11-sup-prom_fastq_pass	136617	8077415181	59124.5246272426	23165	150342	28	845459	81924.9150497866	81731	7970246595	29992	5607067874	0	0	15.4415079052343	15.7022443272889	26.7488983623135
9	HG01573	20221004_HG01573_UL_eee-prom1-1A-PAM23460_guppy-5.0.11-sup-prom_fastq_pass	288507	12710780570	44057.0959110178	7310	147474	12	1198342	76012.3882517191	134987	12420831767	44391	8521646303	3	3331728	14.6028757079515	14.5867555736668	30.6824470969174
10	HG01573	20230209_HG01573_UL_eee-prom1-3A-PAG84447_guppy-5.0.11-sup-prom_fastq_pass	369245	8320248199	22533.1370743003	7169	62138	16	1149767	35981.5081551958	164619	7786120805	15719	2313142548	1	1149767	14.5960685709926	14.6360914555796	26.4689583617457
11	HG01573	20221025_HG01573_UL_eee-prom1-1A-PAM79285_guppy-5.0.11-sup-prom_fastq_pass	223584	19194301284	85848.2775332761	53079.5	166535	14	1283595	98491.27500846	178446	19041880745	69702	13967272295	10	11056811	15.6551031294304	15.941084584874	33.92495546651
12	HG01573	20221011_HG01573_UL_eee-prom1-1C-PAM78043_guppy-5.0.11-sup-prom_fastq_pass	426183	17809820438	41789.1385578496	10022	124781	16	1109290	66616.1391676046	213196	17396185797	60999	10774466928	1	1109290	15.1742265547915	15.3392966776063	30.5593916746253
13	HG01573	20221018_HG01573_UL_eee-prom1-1B-PAM78356_guppy-5.0.11-sup-prom_fastq_pass	167915	13008095675	77468.3362117738	30222	197122	10	1529590	113077.722963329	107778	12865047179	44886	10037974591	46	51029917	15.5210988421533	15.6852953993095	33.3517369855096
14	HG00171	20221011_HG00171_UL_eee-prom1-1A-PAM78120_guppy-5.0.11-sup-prom_fastq_pass	119036	2632661205	22116.5126936389	4250	81675	14	702848	43056.1820918146	44431	2457044092	6713	1097647865	0	0	15.2909848801997	15.4157734665923	32.8783939330714
15	HG00171	20221018_HG00171_UL_eee-prom1-1A-PAM70063_guppy-5.0.11-sup-prom_fastq_pass	213483	19182424651	89854.5769499211	63001	160584	13	1679297	91263.5729326182	176609	19060111563	73928	14037041990	3	3804517	15.8270895079555	16.233079015343	29.3197691743638
