id	alias	instrumentModel	firstCreated	firstPublic	releaseStatus	submissionAccountId	studyId	experimentId	sampleId	sample	project_accession	sample_alias	instrument_model	library_name	library_source	library_selection	library_strategy	file_name	file_md5	
ERR12954366	ena-RUN-TAB-27-04-2024-14:12:44:680-75642	PromethION	2024-04-27T15:12:48		PRIVATE	Webin-56587	ERP159803	ERX12326563	ERS19212003	ERS19212003	PRJEB75216	HG00096_ONT-UL_1	PromethION	HG00096	GENOMIC	size fractionation	WGS	20220408_220405_21-lee-006_PC24B149_2D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	9346ef4592baa6f32c39dce15e89937b	same
ERR12954407	ena-RUN-TAB-27-04-2024-14:12:44:710-75724	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326604	ERS19211973	ERS19211973	PRJEB75216	HG00096_ONT-UL_2	PromethION	HG00096	GENOMIC	size fractionation	WGS	20220412_220407_21-lee-006_PC24B149_2D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	7480eed363c4bc87e1bcd2e3183c80f0	same
ERR12954361	ena-RUN-TAB-27-04-2024-14:12:44:677-75632	PromethION	2024-04-27T15:12:48		PRIVATE	Webin-56587	ERP159803	ERX12326558	ERS19212017	ERS19212017	PRJEB75216	HG00096_ONT-UL_3	PromethION	HG00096	GENOMIC	size fractionation	WGS	20220405_220329_21-lee-006_PC24B149_3D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	f14c98f0ee6fd6b88442a9045ceadc12	same
ERR12954396	ena-RUN-TAB-27-04-2024-14:12:44:701-75702	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326593	ERS19211893	ERS19211893	PRJEB75216	HG00096_ONT-UL_4	PromethION	HG00096	GENOMIC	size fractionation	WGS	20230418_230412_23-lee-007_PC24B149_2C_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	393aebe1999879a3e39ed42d0fb64f89	same
ERR12954435	ena-RUN-TAB-27-04-2024-14:12:44:731-75780	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326632	ERS19212004	ERS19212004	PRJEB75216	HG00268_ONT-UL_1	PromethION	HG00268	GENOMIC	size fractionation	WGS	20210913_210831_21-lee-006_PCT0053_2-A1-D1_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	8cdc35395189d601ede061f1e01a4917	same
ERR12954395	ena-RUN-TAB-27-04-2024-14:12:44:701-75700	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326592	ERS19211984	ERS19211984	PRJEB75216	HG00268_ONT-UL_2	PromethION	HG00268	GENOMIC	size fractionation	WGS	20210903_210825_21-lee-006_PCT0053_2-A1-D1_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	c7d48ce4e8a8314d55020189d7fd169e	same
ERR12954432	ena-RUN-TAB-27-04-2024-14:12:44:729-75774	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326629	ERS19211949	ERS19211949	PRJEB75216	HG00512_ONT-UL_1	PromethION	HG00512	GENOMIC	size fractionation	WGS	20220503_220427_21-lee-006_PC24B149_3E_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	4d6f374a89a8bb38621186f80f3de5e2	same
ERR12954416	ena-RUN-TAB-27-04-2024-14:12:44:716-75742	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326613	ERS19211976	ERS19211976	PRJEB75216	HG00512_ONT-UL_2	PromethION	HG00512	GENOMIC	size fractionation	WGS	20220425_220420_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	00010f03b9b989a48d4db94570916bc2	same
ERR12954418	ena-RUN-TAB-27-04-2024-14:12:44:718-75746	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326615	ERS19211899	ERS19211899	PRJEB75216	HG00512_ONT-UL_3	PromethION	HG00512	GENOMIC	size fractionation	WGS	20220503_220429_21-lee-006_PC24B149_1D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	0aa1293a9b1af6497bfa9749aa899417	same
ERR12954373	ena-RUN-TAB-27-04-2024-14:12:44:686-75656	PromethION	2024-04-27T15:12:48		PRIVATE	Webin-56587	ERP159803	ERX12326570	ERS19211908	ERS19211908	PRJEB75216	HG00731_ONT-UL_1	PromethION	HG00731	GENOMIC	size fractionation	WGS	20220510_220504_21-lee-006_PC24B149_3C_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	ba75484760359ff6c3dfb757ae55fc3d	same
