project_accession	sample_alias	id	alias	instrumentModel	firstCreated	firstPublic	releaseStatus	submissionAccountId	studyId	experimentId	sampleId	instrument_model	library_name	library_source	library_selection	library_strategy	file_name	file_md5
PRJEB75190	HG00268_PacBioHiFi_14	ERR12953027	ena-RUN-TAB-26-04-2024-02:54:13:512-62944	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325224	ERS19138067	Sequel II	HG00268	GENOMIC	size fractionation	WGS	JAX_HiFi_HG00268_m64039_210116_000705.fastq.gz	f31a330c92ea5915f15452b8fa67cc0a
PRJEB75190	HG00268_PacBioHiFi_15	ERR12953012	ena-RUN-TAB-26-04-2024-02:54:13:501-62914	Sequel II	2024-04-26T03:54:14		PRIVATE	Webin-56587	ERP159775	ERX12325209	ERS19138106	Sequel II	HG00268	GENOMIC	size fractionation	WGS	JAX_HiFi_HG00268_m64119_210113_164007.fastq.gz	d595387541cf8b999707e204d244dae2
PRJEB75190	HG00268_PacBioHiFi_16	ERR12953010	ena-RUN-TAB-26-04-2024-02:54:13:499-62910	Sequel II	2024-04-26T03:54:14		PRIVATE	Webin-56587	ERP159775	ERX12325207	ERS19138087	Sequel II	HG00268	GENOMIC	size fractionation	WGS	JAX_HiFi_HG00268_m64119_210121_165545.fastq.gz	2e9d63f94b423d0ed3c6f2cc83b039b4
PRJEB75190	HG02106_PacBioHiFi_10	ERR12953014	ena-RUN-TAB-26-04-2024-02:54:13:502-62918	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325211	ERS19138080	Sequel II	HG02106	GENOMIC	size fractionation	WGS	JAX_HiFi_HG02106_m64119_210108_225831.fastq.gz	31d217563f734d005863546d1bc72a2c
PRJEB75190	HG02106_PacBioHiFi_6	ERR12953034	ena-RUN-TAB-26-04-2024-02:54:13:517-62958	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325231	ERS19138073	Sequel II	HG02106	GENOMIC	size fractionation	WGS	JAX_HiFi_HG02106_m64119_210210_174344.fastq.gz	9e860b85c13b7228efd7d019e25cb415
PRJEB75190	HG02106_PacBioHiFi_7	ERR12953030	ena-RUN-TAB-26-04-2024-02:54:13:514-62950	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325227	ERS19138076	Sequel II	HG02106	GENOMIC	size fractionation	WGS	JAX_HiFi_HG02106_m64039_210117_062206.fastq.gz	d4070fad1d891daa351680d32b750754
PRJEB75190	HG02106_PacBioHiFi_8	ERR12953024	ena-RUN-TAB-26-04-2024-02:54:13:510-62938	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325221	ERS19138093	Sequel II	HG02106	GENOMIC	size fractionation	WGS	JAX_HiFi_HG02106_m64119_210324_200403.fastq.gz	f5bc6491bc484f83fd99ebcebba7d380
PRJEB75190	HG02106_PacBioHiFi_9	ERR12953028	ena-RUN-TAB-26-04-2024-02:54:13:513-62946	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325225	ERS19138102	Sequel II	HG02106	GENOMIC	size fractionation	WGS	JAX_HiFi_HG02106_m64119_210122_231012.fastq.gz	6b555a83e30ef97e2d7fadfca5f17f73
PRJEB75190	HG03456_PacBioHiFi_17	ERR12953018	ena-RUN-TAB-26-04-2024-02:54:13:505-62926	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325215	ERS19138095	Sequel II	HG03456	GENOMIC	size fractionation	WGS	JAX_HiFi_HG03456_m64039_220111_082237.fastq.gz	9935b4379f51ddcb1673f2c4ece97cb6
PRJEB75190	HG03456_PacBioHiFi_18	ERR12953023	ena-RUN-TAB-26-04-2024-02:54:13:509-62936	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325220	ERS19138071	Sequel II	HG03456	GENOMIC	size fractionation	WGS	JAX_HiFi_HG03456_m64119_211226_162136.fastq.gz	0092d832d12dde86ee3cf0a53b339c15
