project_accession	sample_alias	id	alias	instrumentModel	firstCreated	firstPublic	releaseStatus	submissionAccountId	studyId	experimentId	sampleId	instrument_model	library_name	library_source	library_selection	library_strategy	file_name	file_md5
PRJEB75191	HG00268_IsoSeq	ERR12944324	ena-RUN-TAB-20-04-2024-21:46:34:523-34556	Sequel	2024-04-20T22:46:35		PRIVATE	Webin-56587	ERP159776	ERX12316665	ERS19012123	Sequel	HG00268	TRANSCRIPTOMIC	PolyA	OTHER	HG00268_20210719_Lee_m64119_210712_091919.hifi.bam	817aa57668f89b1d117fbc1dfab987c4
PRJEB75191	HG01457_IsoSeq	ERR12944325	ena-RUN-TAB-20-04-2024-21:46:34:524-34558	Sequel	2024-04-20T22:46:35		PRIVATE	Webin-56587	ERP159776	ERX12316666	ERS19012118	Sequel	HG01457	TRANSCRIPTOMIC	PolyA	OTHER	HG01457_20210706_Lee_m64039_210630_173216.hifi.bam	5aaef3a2c2912d6941a074a78f34dd63
PRJEB75191	HG02106_IsoSeq	ERR12944329	ena-RUN-TAB-20-04-2024-21:46:34:528-34566	Sequel	2024-04-20T22:46:35		PRIVATE	Webin-56587	ERP159776	ERX12316670	ERS19012120	Sequel	HG02106	TRANSCRIPTOMIC	PolyA	OTHER	HG02106_20210719_Lee_m64119_210711_090732.hifi.bam	c6d0c99d6d96a79c308cb5ff9342ff4d
PRJEB75191	HG02666_IsoSeq	ERR12944321	ena-RUN-TAB-20-04-2024-21:46:34:521-34550	Sequel	2024-04-20T22:46:35		PRIVATE	Webin-56587	ERP159776	ERX12316662	ERS19012119	Sequel	HG02666	TRANSCRIPTOMIC	PolyA	OTHER	HG02666_20210630_Lee_m64119_210624_163647.hifi.bam	a5e528d18bf5c269cea367a575fa439d
PRJEB75191	HG03248_IsoSeq	ERR12944323	ena-RUN-TAB-20-04-2024-21:46:34:523-34554	Sequel	2024-04-20T22:46:35		PRIVATE	Webin-56587	ERP159776	ERX12316664	ERS19012113	Sequel	HG03248	TRANSCRIPTOMIC	PolyA	OTHER	HG03248_20210706_Lee_m64039_210629_171958.hifi.bam	bf66f74ea9d6ae8269ab2ccad4310270
PRJEB75191	HG03807_IsoSeq	ERR12944327	ena-RUN-TAB-20-04-2024-21:46:34:526-34562	Sequel	2024-04-20T22:46:35		PRIVATE	Webin-56587	ERP159776	ERX12316668	ERS19012122	Sequel	HG03807	TRANSCRIPTOMIC	PolyA	OTHER	HG03807_20210706_Lee_m64039_210703_180856.hifi.bam	c62efcd973dd0b883cd3a67564363cbc
PRJEB75191	HG04217_IsoSeq	ERR12944320	ena-RUN-TAB-20-04-2024-21:46:34:520-34548	Sequel	2024-04-20T22:46:35		PRIVATE	Webin-56587	ERP159776	ERX12316661	ERS19012116	Sequel	HG04217	TRANSCRIPTOMIC	PolyA	OTHER	HG04217_20210706_Lee_m64039_210702_175655.hifi.bam	cccdc9077e5bfe7fff2ec0b373eebc83
PRJEB75191	NA18989_IsoSeq	ERR12944331	ena-RUN-TAB-20-04-2024-21:46:34:529-34570	Sequel	2024-04-20T22:46:35		PRIVATE	Webin-56587	ERP159776	ERX12316672	ERS19012114	Sequel	NA18989	TRANSCRIPTOMIC	PolyA	OTHER	NA18989_20210630_Lee_m64119_210622_161306.hifi.bam	3d5167d3692008e1056525efe2681fdd
PRJEB75191	NA19317_IsoSeq	ERR12944328	ena-RUN-TAB-20-04-2024-21:46:34:527-34564	Sequel	2024-04-20T22:46:35		PRIVATE	Webin-56587	ERP159776	ERX12316669	ERS19012124	Sequel	NA19317	TRANSCRIPTOMIC	PolyA	OTHER	NA19317_20210630_Lee_m64119_210625_164835.hifi.bam	73b5d6f1582f3d5d9d0807816a2da841
PRJEB75191	NA19331_IsoSeq	ERR12944330	ena-RUN-TAB-20-04-2024-21:46:34:529-34568	Sequel	2024-04-20T22:46:35		PRIVATE	Webin-56587	ERP159776	ERX12316671	ERS19012121	Sequel	NA19331	TRANSCRIPTOMIC	PolyA	OTHER	NA19331_20210630_Lee_m64119_210623_162508.hifi.bam	ef3ddc21054aa9a99f71dfcca9ed8ad5
PRJEB75191	NA19347_IsoSeq	ERR12944322	ena-RUN-TAB-20-04-2024-21:46:34:522-34552	Sequel	2024-04-20T22:46:35		PRIVATE	Webin-56587	ERP159776	ERX12316663	ERS19012115	Sequel	NA19347	TRANSCRIPTOMIC	PolyA	OTHER	NA19347_20210630_Lee_m64119_210626_170023.hifi.bam	30ae8bdbab24ca23d8a196d6ef761c8d
PRJEB75191	NA19384_IsoSeq	ERR12944326	ena-RUN-TAB-20-04-2024-21:46:34:525-34560	Sequel	2024-04-20T22:46:35		PRIVATE	Webin-56587	ERP159776	ERX12316667	ERS19012117	Sequel	NA19384	TRANSCRIPTOMIC	PolyA	OTHER	NA19384_20210706_Lee_m64039_210701_174442.hifi.bam	7c1aaad4765db8d850a30028865ea5af
