runId	run_alias	instrumentModel	firstCreated	firstPublic	releaseStatus	submissionAccountId	studyId	experimentId	sampleId	sample_alias	project_accession	library_name	library_source	library_selection	library_strategy	library_layout	file_name	file_md5	fileFormat	bytes	checksumMethod	checksum	archiveStatus
ERR13492031	ena-RUN-TAB-12-08-2024-22:32:26:832-184283	PromethION	2024-08-12T23:32:49		PRIVATE	Webin-67527	ERP161946	ERX12862298	ERS20573528	NA21487	PRJEB77558	NA21487_ONT_UL	GENOMIC	RANDOM	WGS	SINGLE	GM21487_20220118_UL_eee-prom1-2D-PAH36599_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	ee4e562b79003b51f0175c96714a8dd8	FASTQ	55734524	MD5	ee4e562b79003b51f0175c96714a8dd8	File archived
ERR13492030	ena-RUN-TAB-12-08-2024-22:32:26:831-184281	PromethION	2024-08-12T23:32:49		PRIVATE	Webin-67527	ERP161946	ERX12862297	ERS20573528	NA21487	PRJEB77558	NA21487_ONT_UL	GENOMIC	RANDOM	WGS	SINGLE	GM21487_20220104_UL_eee-prom1-1E-PAJ02885_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	51f61fc99f4d9b1b483339558605ad36	FASTQ	22922943961	MD5	51f61fc99f4d9b1b483339558605ad36	File archived
ERR13492029	ena-RUN-TAB-12-08-2024-22:32:26:830-184279	PromethION	2024-08-12T23:32:49		PRIVATE	Webin-67527	ERP161946	ERX12862296	ERS20573528	NA21487	PRJEB77558	NA21487_ONT_UL	GENOMIC	RANDOM	WGS	SINGLE	GM21487_20211227_UL_eee-prom1-3F-PAJ08016_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	db0a3d05e09e72f249aa5bc31db8655e	FASTQ	17015219629	MD5	db0a3d05e09e72f249aa5bc31db8655e	File archived
ERR13492028	ena-RUN-TAB-12-08-2024-22:32:26:830-184277	PromethION	2024-08-12T23:32:49		PRIVATE	Webin-67527	ERP161946	ERX12862295	ERS20573528	NA21487	PRJEB77558	NA21487_ONT_UL	GENOMIC	RANDOM	WGS	SINGLE	GM21487_20211227_UL_eee-prom1-3E-PAJ09825_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	77cafd6411ac8111dee1b96b4994059a	FASTQ	14935920213	MD5	77cafd6411ac8111dee1b96b4994059a	File archived
ERR13492027	ena-RUN-TAB-12-08-2024-22:32:26:829-184275	PromethION	2024-08-12T23:32:49		PRIVATE	Webin-67527	ERP161946	ERX12862294	ERS20573528	NA21487	PRJEB77558	NA21487_ONT_UL	GENOMIC	RANDOM	WGS	SINGLE	GM21487_20211220_UL_eee-prom1-1G-PAJ02891_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	8a525e719eb1d5e7ecc063d57cfe8c8a	FASTQ	31653302588	MD5	8a525e719eb1d5e7ecc063d57cfe8c8a	File archived
ERR13492026	ena-RUN-TAB-12-08-2024-22:32:26:828-184273	PromethION	2024-08-12T23:32:49		PRIVATE	Webin-67527	ERP161946	ERX12862293	ERS20573528	NA21487	PRJEB77558	NA21487_ONT_UL	GENOMIC	RANDOM	WGS	SINGLE	GM21487_20211111_UL_eee-prom1-1A-PAI18572_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	4b79672fc50b74b25121297b3d3cca0a	FASTQ	317216904	MD5	4b79672fc50b74b25121297b3d3cca0a	File archived
ERR13492025	ena-RUN-TAB-12-08-2024-22:32:26:827-184271	PromethION	2024-08-12T23:32:49		PRIVATE	Webin-67527	ERP161946	ERX12862292	ERS20573528	NA21487	PRJEB77558	NA21487_ONT_UL	GENOMIC	RANDOM	WGS	SINGLE	GM21487_20211110_UL_eee-prom1-1E-PAI04403_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1178f8b205f84e9a564ed81c835595b7	FASTQ	7514599330	MD5	1178f8b205f84e9a564ed81c835595b7	File archived
ERR13492024	ena-RUN-TAB-12-08-2024-22:32:26:827-184269	PromethION	2024-08-12T23:32:49		PRIVATE	Webin-67527	ERP161946	ERX12862291	ERS20573528	NA21487	PRJEB77558	NA21487_ONT_UL	GENOMIC	RANDOM	WGS	SINGLE	GM21487_20211110_UL_eee-prom1-1A-PAI18572_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	fdcf40cbccc55a5dce3c5f96a5a4e9cd	FASTQ	83469926	MD5	fdcf40cbccc55a5dce3c5f96a5a4e9cd	File archived
ERR13492023	ena-RUN-TAB-12-08-2024-22:32:26:826-184267	PromethION	2024-08-12T23:32:49		PRIVATE	Webin-67527	ERP161946	ERX12862290	ERS20573528	NA21487	PRJEB77558	NA21487_ONT_UL	GENOMIC	RANDOM	WGS	SINGLE	GM21487_20211110-2_UL_eee-prom1-1A-PAI18572_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	516c7a09ed2d91de8777f3469cd8b3df	FASTQ	2784321992	MD5	516c7a09ed2d91de8777f3469cd8b3df	File archived
ERR13492022	ena-RUN-TAB-12-08-2024-22:32:26:825-184265	PromethION	2024-08-12T23:32:49		PRIVATE	Webin-67527	ERP161946	ERX12862289	ERS20573528	NA21487	PRJEB77558	NA21487_ONT_UL	GENOMIC	RANDOM	WGS	SINGLE	GM21487_20211109_UL_eee-prom1-1A-PAI18572_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	ff6799f4a7a92b77f82e009845d07a37	FASTQ	9519267295	MD5	ff6799f4a7a92b77f82e009845d07a37	File archived
