accession	description
GCA_964198145	HG00096.ENAUpload assembly for Homo sapiens
GCA_964198155	NA18989.ENAUpload assembly for Homo sapiens
GCA_964198165	HG04217.ENAUpload assembly for Homo sapiens
GCA_964198175	HG00733.ENAUpload assembly for Homo sapiens
GCA_964198185	NA19129.ENAUpload assembly for Homo sapiens
GCA_964198195	HG00171.ENAUpload assembly for Homo sapiens
GCA_964198205	HG03248.ENAUpload assembly for Homo sapiens
GCA_964198215	HG02587.ENAUpload assembly for Homo sapiens
GCA_964198225	HG00732.ENAUpload assembly for Homo sapiens
GCA_964198235	NA21487.ENAUpload assembly for Homo sapiens
GCA_964198245	HG00512.ENAUpload assembly for Homo sapiens
GCA_964198255	HG04036.ENAUpload assembly for Homo sapiens
GCA_964198265	HG03520.ENAUpload assembly for Homo sapiens
GCA_964198275	HG00513.ENAUpload assembly for Homo sapiens
GCA_964198285	HG02554.ENAUpload assembly for Homo sapiens
GCA_964198295	HG00358.ENAUpload assembly for Homo sapiens
GCA_964198305	NA19983.ENAUpload assembly for Homo sapiens
GCA_964198315	NA19036.ENAUpload assembly for Homo sapiens
GCA_964198325	NA20355.ENAUpload assembly for Homo sapiens
GCA_964198335	HG01352.ENAUpload assembly for Homo sapiens
GCA_964198345	NA19239.ENAUpload assembly for Homo sapiens
GCA_964198355	HG03807.ENAUpload assembly for Homo sapiens
GCA_964198365	HG00268.ENAUpload assembly for Homo sapiens
GCA_964198375	HG02282.ENAUpload assembly for Homo sapiens
GCA_964198385	HG01457.ENAUpload assembly for Homo sapiens
GCA_964198395	HG02059.ENAUpload assembly for Homo sapiens
GCA_964198405	NA19331.ENAUpload assembly for Homo sapiens
GCA_964198415	HG02666.ENAUpload assembly for Homo sapiens
GCA_964198425	NA19317.ENAUpload assembly for Homo sapiens
GCA_964198435	HG02818.ENAUpload assembly for Homo sapiens
GCA_964198445	HG02769.ENAUpload assembly for Homo sapiens
GCA_964198455	HG02106.ENAUpload assembly for Homo sapiens
GCA_964198465	HG03683.ENAUpload assembly for Homo sapiens
GCA_964198475	HG01505.ENAUpload assembly for Homo sapiens
GCA_964198485	HG01114.ENAUpload assembly for Homo sapiens
GCA_964198495	NA19384.ENAUpload assembly for Homo sapiens
GCA_964198505	NA19434.ENAUpload assembly for Homo sapiens
GCA_964198515	NA18939.ENAUpload assembly for Homo sapiens
GCA_964198525	HG03452.ENAUpload assembly for Homo sapiens
GCA_964198535	HG00864.ENAUpload assembly for Homo sapiens
GCA_964198545	HG00514.ENAUpload assembly for Homo sapiens
GCA_964198555	HG02953.ENAUpload assembly for Homo sapiens
GCA_964198565	NA19238.ENAUpload assembly for Homo sapiens
GCA_964198575	NA19836.ENAUpload assembly for Homo sapiens
GCA_964198645	NA19705.ENAUpload assembly for Homo sapiens
GCA_964198665	HG03371.ENAUpload assembly for Homo sapiens
GCA_964198695	HG02011.ENAUpload assembly for Homo sapiens
GCA_964198715	NA19650.ENAUpload assembly for Homo sapiens
GCA_964198755	HG03732.ENAUpload assembly for Homo sapiens
GCA_964198985	HG01596.ENAUpload assembly for Homo sapiens
GCA_964199075	HG03065.ENAUpload assembly for Homo sapiens
GCA_964199085	HG03456.ENAUpload assembly for Homo sapiens
GCA_964199165	NA24385.ENAUpload assembly for Homo sapiens
GCA_964199175	HG02492.ENAUpload assembly for Homo sapiens
GCA_964199185	HG01890.ENAUpload assembly for Homo sapiens
GCA_964199195	HG03009.ENAUpload assembly for Homo sapiens
GCA_964199205	NA18534.ENAUpload assembly for Homo sapiens
GCA_964199215	NA20509.ENAUpload assembly for Homo sapiens
GCA_964199225	HG00731.ENAUpload assembly for Homo sapiens
GCA_964199235	NA20847.ENAUpload assembly for Homo sapiens
GCA_964199245	NA19347.ENAUpload assembly for Homo sapiens
GCA_964199255	NA19240.ENAUpload assembly for Homo sapiens
GCA_964199695	NA12329.ENAUpload assembly for Homo sapiens
GCA_964199705	HG01573.ENAUpload assembly for Homo sapiens
GCA_964199715	HG02018.ENAUpload assembly for Homo sapiens
