study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	read_count	base_count	center_name	experiment_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	submitted_ftp	sample_alias	sample_title
PRJEB36100	SAMN00006581	SRS008747	ERX3831682	ERR3822935	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	1627773	27460032904	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: Raw reads: HGSVC_HG00733_HiFi_Reads	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_HG00733_HiFi_Reads	HG00733-hifi-r54329U_20190617_231034-1_A01	23885681544	595096be14670acc27ba9a912a0581f3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR382/005/ERR3822935/ERR3822935_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3822935/HG00733-hifi-r54329U_20190827_172128-1_A01.bam	SAMN00006581	Coriell HG00733
PRJEB36100	SAMN00006579	SRS008745	ERX3852661	ERR3840018	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	2145564	22243710769	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG00731 (HiFi, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG00731_HiFi_UW	HG00731-HiFi-r54329U_20190531_173856-A01	16976406735	034a4149733fef03a4767b8e5a07d963	ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/008/ERR3840018/ERR3840018_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR384/ERR3840018/HG00731-hifi-r54329U_20190531_173856-A01.bam	SAMN00006579	Coriell HG00731
PRJEB36100	SAMN00006581	SRS008747	ERX3831682	ERR3861382	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	1165188	12442674191	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: Raw reads: HGSVC_HG00733_HiFi_Reads	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_HG00733_HiFi_Reads	HG00733-HiFi-r54329U_20190607_183639-A01	9933259822	126947239854734a65385ffd34da29d7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/002/ERR3861382/ERR3861382_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861382/HG00733-hifi-r54329U_20190607_183639-A01.bam	SAMN00006581	Coriell HG00733
PRJEB36100	SAMN00006581	SRS008747	ERX3831682	ERR3861383	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	897059	11762148999	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: Raw reads: HGSVC_HG00733_HiFi_Reads	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_HG00733_HiFi_Reads	HG00733-HiFi-r54329U_20190615_010116-A01	9918926606	2da37a083a4983632f13521ce7f76422	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/003/ERR3861383/ERR3861383_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861383/HG00733-hifi-r54329U_20190615_010116-A01.bam	SAMN00006581	Coriell HG00733
PRJEB36100	SAMN00006581	SRS008747	ERX3873457	ERR3861395	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	5262781	163002776762	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG00733 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG00733_CLR_UW	HG00733-CLR-r54329U_20200111_011943-A01	48286759226	d5ba631b7d0345c74476f760ab9986d2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/005/ERR3861395/ERR3861395_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861395/HG00733-clr-r54329U_20200111_011943-A01.bam	SAMN00006581	Coriell HG00733
PRJEB36100	SAMN00006581	SRS008747	ERX3873457	ERR3861396	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	5235391	158364418301	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG00733 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG00733_CLR_UW	HG00733-CLR-r54329U_20200114_195752-A01	46874636104	bb7c9bde2e39b8bf676d45f4d15b8e41	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/006/ERR3861396/ERR3861396_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861396/HG00733-clr-r54329U_20200114_195752-A01.bam	SAMN00006581	Coriell HG00733
PRJEB36100	SAMN00779992	SRS290929	ERX3873459	ERR3861400	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	5357620	161478223217	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG02492 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG02492_CLR_UW	HG02492-CLR-r54329U_20191118_223523-A01	47715265780	8f6fe0a9d9c1bdeca2c62d5458e54df8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/000/ERR3861400/ERR3861400_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861400/HG02492-clr-r54329U_20191118_223523-A01.bam	HG02492	Human 1000 genomes individual HG02492
PRJEB36100	SAMN00007824	SRS003758	ERX3873460	ERR3861402	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	6914463	203530206920	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: NA19983 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_NA19983_CLR_UW	NA19983-CLR-r54329U_20191206_232007-A01	60497728768	374d165e7d54a13b3d2315e36739dc3d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/002/ERR3861402/ERR3861402_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861402/NA19983-clr-r54329U_20191206_232007-A01.bam	NA19983	HapMap sample from Homo sapiens
PRJEB36100	SAMN01090976	SRS350866	ERX3873461	ERR3861403	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	6711557	196775604290	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG03683 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG03683_CLR_UW	HG03683-CLR-r54329U_20191206_232007-B01	58225965414	f5f0af015b13995e3b2e2ca79b02e782	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/003/ERR3861403/ERR3861403_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861403/HG03683-clr-r54329U_20191206_232007-B01.bam	HG03683	Human 1000 genomes individual HG03683
PRJEB36100	SAMN01090976	SRS350866	ERX3873461	ERR3861404	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	7279738	166253347900	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG03683 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG03683_CLR_UW	HG03683-CLR-r54329U_20191209_223449-A01	49125665015	94353c2e61d8f5e233fc8a1e01255f4f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/004/ERR3861404/ERR3861404_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861404/HG03683-clr-r54329U_20191209_223449-A01.bam	HG03683	Human 1000 genomes individual HG03683
