study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	library_source	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
PRJNA698480	SAMN00007882	SRS003816	SRX10000190	SRR13606073	9606	Homo sapiens	PL100149412-1	GENOMIC	PL100149412-1_S64018_20200124_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/073/SRR13606073/SRR13606073.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR136/SRR13606073/EDEVI_20200124_S64018_PL100149412_1_A01.subreads.bam		SAMN00007882	Coriell GM20847	
PRJNA698480	SAMN00007882	SRS003816	SRX10000189	SRR13606074	9606	Homo sapiens	PL100149412-1	GENOMIC	PL100149412-1_S64049_20200127_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/074/SRR13606074/SRR13606074.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR136/SRR13606074/EDEVI_20200127_S64049_PL100149412_1_B01.subreads.bam		SAMN00007882	Coriell GM20847	
PRJNA698480	SAMN00004622	SRS006837	SRX10000191	SRR13606075	9606	Homo sapiens	PL100149411-2	GENOMIC	PL100149411-2_S64049_20200124_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/075/SRR13606075/SRR13606075_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/075/SRR13606075	SAMN00004622	Coriell HG00096	
PRJNA698480	SAMN00006465	SRS008631	SRX10000197	SRR13606077	9606	Homo sapiens	PL100139347A-1	GENOMIC	PL100139347A-1_S64049_20200115_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/077/SRR13606077/SRR13606077.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR136/SRR13606077/EDEVI_20200115_S64049_PL100139347A_1_A01.subreads.bam.1		SAMN00006465	Coriell HG00512	
PRJNA698480	SAMN00006465	SRS008631	SRX10000195	SRR13606079	9606	Homo sapiens	PL100139347-1	GENOMIC	PL100139347-1_S64018_20190920_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/079/SRR13606079/SRR13606079_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/079/SRR13606079	SAMN00006465	Coriell HG00512	
PRJNA698480	SAMN00006465	SRS008631	SRX10000198	SRR13606083	9606	Homo sapiens	PL100139347-2	GENOMIC	PL100139347-2_S64049_20191007_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/083/SRR13606083/SRR13606083_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/083/SRR13606083	SAMN00006465	Coriell HG00512	
PRJNA698480	SAMN00006466	SRS008632	SRX10000202	SRR13606086	9606	Homo sapiens	PL100139348A-1	GENOMIC	PL100139348A-1_S64018_20200117_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/086/SRR13606086/SRR13606086_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/086/SRR13606086	SAMN00006466	Coriell HG00513	
PRJNA698480	SAMN00006466	SRS008632	SRX10000203	SRR13606088	9606	Homo sapiens	PL100139348-2	GENOMIC	PL100139348-2_S64049_20191007_D01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/088/SRR13606088/SRR13606088.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR136/SRR13606088/EDEVI_20191007_S64049_PL100139348_2_D01.ccs.bam		SAMN00006466	Coriell HG00513	
PRJNA698480	SAMN00006466	SRS008632	SRX10000208	SRR13606091	9606	Homo sapiens	PL100139348-1	GENOMIC	PL100139348-1_S64018_20191004_C01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/091/SRR13606091/SRR13606091_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/091/SRR13606091	SAMN00006466	Coriell HG00513	
PRJNA698480	SAMN00249890	SRS179215	SRX10000210	SRR13606093	9606	Homo sapiens	PL100149417-1	GENOMIC	PL100149417-1_S64049_20200207_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/093/SRR13606093/SRR13606093.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR136/SRR13606093/EDEVI_20200207_S64049_PL100149417_1_A01.subreads.bam.1		SAMN00249890	Coriell HG00864	
