study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	instrument_platform	instrument_model	library_name	library_strategy	read_count	base_count	center_name	experiment_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	submitted_ftp	sample_alias	sample_title
PRJNA731524	SAMN05603745	SRS2205766	SRX10954033	SRR14611219	9606	PACBIO_SMRT	Sequel II	HG02818_lib1	WGS	0	0	SUB9694575	Sequel II sequencing: PacBio HiFi sequencing of HG02818	PRJNA731524	HG02818_lib1	m64043_200206_173947.ccs.bam				ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611219/m64043_200206_173947.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611219/m64043_200207_235213.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611219/m64043_200209_061852.ccs.bam	Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA731524	SAMN13957944	SRS6180170	SRX10954029	SRR14611223	9606	PACBIO_SMRT	Sequel II	HG03098_lib1	WGS	0	0	SUB9694575	Sequel II sequencing: PacBio HiFi sequencing of HG03098	PRJNA731524	HG03098_lib1	m64043_201123_083343.ccs.bam				ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611223/m64043_201123_083343.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611223/m64043_201128_031055.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611223/m64043_201203_004011.ccs.bam	Human sample HG03098 from Homo Sapiens	Human sample from Homo sapiens HG03098
PRJNA731524	SAMN13958525	SRS6180174	SRX10954028	SRR14611224	9606	PACBIO_SMRT	Sequel II	HG01442_lib1	WGS	0	0	SUB9694575	Sequel II sequencing: PacBio HiFi sequencing of HG01442	PRJNA731524	HG01442_lib1	m64043_201201_182529.ccs.bam				ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611224/m64043_201201_182529.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611224/m64136_201122_020702.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611224/m64136_201125_200625.ccs.bam	Human Sample HG01442 from Homo Sapiens	Human sample from Homo sapiens HG01442
PRJNA731524	SAMN12162856	SRS5605607	SRX10954027	SRR14611225	9606	PACBIO_SMRT	Sequel II	HG02055_lib1	WGS	0	0	SUB9694575	Sequel II sequencing: PacBio HiFi sequencing of HG02055	PRJNA731524	HG02055_lib1	m64136_201014_213617.ccs.bam				ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611225/m64136_201014_213617.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611225/m64136_201016_205143.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611225/m64136_201018_030620.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611225/m64136_201107_033114.ccs.bam	Human sample HG02055 from Homo Sapiens	Human sample HG02055 from Homo sapiens
PRJNA731524	SAMN11307786	SRS5097355	SRX10954023	SRR14611229	9606	PACBIO_SMRT	Sequel II	NA20300_lib1	WGS	0	0	SUB9694575	Sequel II sequencing: PacBio HiFi sequencing of NA20300	PRJNA731524	NA20300_lib1	m64043_191106_155940.ccs.bam				ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611229/m64043_191106_155940.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611229/m64043_191109_234157.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611229/m64043_191111_040652.ccs.bam	Human sample NA20300 from Homo Sapiens	Human sample from Homo Sapiens of NA20300 African in Southwest USA
PRJNA731524	SAMN13957875	SRS6180178	SRX10954019	SRR14611233	9606	PACBIO_SMRT	Sequel II	NA18906_lib1	WGS	0	0	SUB9694575	Sequel II sequencing: PacBio HiFi sequencing of NA18906	PRJNA731524	NA18906_lib1	m64136_200521_171936.ccs.bam				ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611233/m64136_200521_171936.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611233/m64136_200523_195722.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611233/m64136_200525_021027.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611233/m64136_200526_083627.ccs.bam	Human sample NA18906 from Homo Sapiens	Human sample NA18906, YORUBAN IN IBADAN, NIGERIA, from Homo sapiens
PRJNA731524	SAMN13958363	SRS6180169	SRX10954018	SRR14611234	9606	PACBIO_SMRT	Sequel II	HG03492_lib1	WGS	0	0	SUB9694575	Sequel II sequencing: PacBio HiFi sequencing of HG03492	PRJNA731524	HG03492_lib1	m64136_200904_190830.ccs.bam				ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611234/m64136_200904_190830.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611234/m64136_200906_012331.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611234/m64136_200907_075143.ccs.bam	Human Sample HG03492 from Homo Sapiens	Human sample from Homo sapiens HG03492
PRJNA731524	SAMN11308414	SRS5098538	SRX10954015	SRR14611237	9606	PACBIO_SMRT	Sequel II	HG02970_lib1	WGS	2026519	25140870572	SUB9694575	Sequel II sequencing: PacBio HiFi sequencing of HG02970	PRJNA731524	HG02970_lib1	m64043_200229_115457.ccs.bam	18861516098	e8857b2486af908fd11fb8348ebb671f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/037/SRR14611237/SRR14611237.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611237/m64043_200229_115457.ccs.bam	Human sample HG02970 from Homo Sapiens	Human sample from Homo sapiens HG02970
PRJNA731524	SAMN12162846	SRS5605822	SRX10954013	SRR14611239	9606	PACBIO_SMRT	Sequel II	HG01109_lib1	WGS	0	0	SUB9694575	Sequel II sequencing: PacBio HiFi sequencing of HG01109	PRJNA731524	HG01109_lib1	m64043_200827_191459.ccs.bam				ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611239/m64043_200827_191459.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611239/m64043_200829_012836.ccs.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR146/SRR14611239/m64043_200830_075523.ccs.bam	Human Sample HG01109 from Homo Sapiens	Human sample HG01109 from Homo sapiens
PRJNA731524	SAMN03283347	SRS817069	SRX20248965	SRR24462105	9606	OXFORD_NANOPORE	PromethION	03_08_22_R941_HG002	WGS	11388031	496106934664	SUB13201356	PromethION sequencing: Oxford Nanopore sequencing of HG002	PRJNA731524	03_08_22_R941_HG002	03_08_22_R941_HG002_1_Guppy_6.1.2_5mc_cg_prom_sup.bam	139869705277	9dd2b9111ceaf4c40fb2c3626b61b061	ftp.sra.ebi.ac.uk/vol1/fastq/SRR244/005/SRR24462105/SRR24462105_1.fastq.gz		NIST HG002 NA24385	NIST HG002 NA24385
