sample	datatype	file_name	remote_path	accession
NA19238	hifi	m64119e_230531_095655.hifi_reads	IGSR:HGSVC3:/working/20220831_JAX_HiFi/NA19238	unknown
NA19238	hifi	NA19238_20191205_CLEE_m64039_190901_163200.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19238	hifi	NA19238_20191205_CLEE_m64039_190831_102034.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19238	hifi	NA19238_20191205_CLEE_m64039_190830_040857.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19238	hifi	NA19238_20191205_CLEE_m64039_190828_220241.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19238	hifi	NA19238_20191205_CLEE_m64039_190818_202358.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19238	hifi	NA19238_20191205_CLEE_m64039_190817_141701.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19238	hifi	NA19238_20191205_CLEE_m54336U_191017_101413.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19238	hifi	NA19238_20191205_CLEE_m54336U_191015_222230.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19240	hifi	m84046_231117_203108_s3.hifi_reads.bc2078	IGSR:HGSVC3:/working/20231126_UW_HiFi/NA19240	unknown
NA19240	hifi	m84046_231113_224421_s1.hifi_reads.bc2078	IGSR:HGSVC3:/working/20231126_UW_HiFi/NA19240	unknown
NA19240	hifi	m84046_231007_214225_s2.hifi_reads.bc2078	IGSR:HGSVC3:/working/20231126_UW_HiFi/NA19240	unknown
NA19240	hifi	NA19240_20191002_CLEE_m64039_190930_063309.ccs	IGSR:HGSVC2:/working/20191005_YRI_PacBio_NA19240_HiFi	unknown
NA19240	hifi	NA19240_20191002_CLEE_m64039_190922_223056.ccs	IGSR:HGSVC2:/working/20191005_YRI_PacBio_NA19240_HiFi	unknown
NA19240	hifi	NA19240_20191002_CLEE_m54336U_190829_230546.ccs	IGSR:HGSVC2:/working/20191005_YRI_PacBio_NA19240_HiFi	unknown
NA19240	hifi	NA19240_20191002_CLEE_m54336U_190828_075428.ccs	IGSR:HGSVC2:/working/20191005_YRI_PacBio_NA19240_HiFi	unknown
NA19240	hifi	NA19240_20191002_CLEE_m54336U_190827_013439.ccs	IGSR:HGSVC2:/working/20191005_YRI_PacBio_NA19240_HiFi	unknown
HG00732	hifi	m84046_231117_203108_s3.hifi_reads.bc2033	IGSR:HGSVC3:/working/20231126_UW_HiFi/HG00732	unknown
HG00732	hifi	m84046_231113_224421_s1.hifi_reads.bc2033	IGSR:HGSVC3:/working/20231126_UW_HiFi/HG00732	unknown
HG00732	ont	20221228_HG00732_UL_eee-prom1-2A-PAG65779_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00732	unknown
HG00732	ont	20221220_HG00732_UL_eee-prom1-2C-PAG67955_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00732	unknown
HG00732	ont	20221214_HG00732_UL_eee-prom1-2E-PAG68402_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00732	unknown
HG00732	ont	20221214_HG00732_UL_eee-prom1-2B-PAG65793_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00732	unknown
HG00732	ont	20221213_HG00732_UL_eee-prom1-2B-PAG65793_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00732	unknown
HG00733	ont	HG00733_20220215_UL_eee-prom1-2G-PAJ10244_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown
HG00733	ont	HG00733_20220215_UL_eee-prom1-2E-PAJ10244_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown
HG00733	ont	HG00733_20220215_UL_eee-prom1-1F-PAJ09070_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown
