# 20240124T1628
# rerun after update: notebooks/data_management/20_process_sample_table.ipynb
order_num	sample	sex	hifi_complete	ont_complete	igsr_status	sample_batch	is_pilot
1	NA19238	Female	yes	yes	complete	3	0
2	NA19239	Male	yes	yes	complete	3	0
3	NA19240	Female	yes	yes	complete	3	0
4	HG00731	Male	yes	yes	complete	2	0
5	HG00732	Female	yes	yes	complete	3	0
6	HG00733	Female	yes	yes	complete	1	1
7	HG00512	Male	yes	yes	complete	3	0
8	HG00513	Female	yes	yes	complete	3	0
9	HG00514	Female	yes	yes	complete	3	0
10	HG03732	Male	yes	yes	complete	3	0
11	HG01573	Female	yes	yes	complete	1	0
12	HG00171	Female	yes	yes	complete	1	1
13	HG02587	Female	yes	yes	complete	1	0
14	HG01114	Female	yes	yes	complete	1	0
15	HG02018	Female	yes	yes	complete	1	0
16	NA19036	Female	yes	yes	complete	1	0
17	NA12329	Female	yes	yes	complete	3	0
18	HG02011	Male	yes	yes	complete	2	0
19	NA19983	Female	yes	yes	complete	1	0
20	HG03371	Male	yes	yes	complete	2	0
21	HG02492	Male	yes	yes	complete	2	0
22	HG03009	Male	yes	yes	complete	2	0
23	HG03683	Female	yes	yes	complete	1	0
24	HG03065	Male	yes	yes	complete	2	0
25	NA18534	Male	yes	yes	complete	2	0
26	HG01505	Male	yes	yes	complete	1	0
27	NA19650	Male	yes	yes	complete	2	0
28	NA18939	Female	yes	yes	complete	3	0
29	HG00864	Female	yes	yes	complete	3	0
30	NA20847	Female	yes	yes	complete	2	0
31	NA20509	Male	yes	yes	complete	2	0
32	HG00096	Male	yes	yes	complete	3	0
33	HG01596	Male	yes	yes	complete	2	0
34	NA24385	Male	yes	yes	complete	2	0
35	NA12878	Female	skip	skip	skip	-1	0
36	HG02818	Female	yes	yes	complete	1	0
37	HG03125	Female	skip	skip	skip	-1	0
38	HG03486	Female	skip	skip	skip	-1	0
39	HG01352	Female	yes	yes	complete	1	0
40	HG02059	Female	yes	yes	complete	1	0
41	NA19434	Female	yes	yes	complete	1	0
42	HG04217	Female	yes	yes	complete	1	0
43	HG03807	Female	yes	yes	complete	1	0
44	NA19836	Female	yes	yes	complete	1	0
45	HG02106	Female	yes	yes	complete	1	0
46	HG00268	Female	yes	yes	complete	1	0
47	GM20355	Female	yes	yes	complete	1	0
48	GM19320	Female	yes	yes	complete	-1	0
49	GM19129	Female	yes	yes	complete	1	0
50	HG02769	Female	yes	yes	complete	1	0
51	HG03452	Female	yes	yes	complete	1	0
52	HG03520	Female	yes	yes	complete	1	0
53	HG02282	Female	yes	yes	complete	1	0
54	HG02554	Male	yes	yes	complete	1	0
55	HG02953	Male	yes	yes	complete	1	1
56	GM21487	Female	yes	yes	complete	1	1
57	NA18989	Male	yes	yes	complete	1	0
58	NA19331	Male	yes	yes	complete	1	0
59	HG02666	Male	yes	yes	complete	1	1
60	NA19317	Male	yes	yes	complete	1	0
61	NA19347	Male	yes	yes	complete	1	0
62	HG03248	Male	yes	yes	complete	1	0
63	HG04036	Female	yes	yes	complete	1	0
64	HG01457	Male	yes	yes	complete	1	0
65	NA19384	Male	yes	yes	complete	1	0
66	HG01890	Male	yes	yes	complete	2	0
67	NA19705	Male	yes	yes	complete	2	0
68	HG03456	Male	yes	yes	complete	2	0
69	HG00358	Male	yes	yes	complete	1	0
