# 1000 Genomes Project - color scheme phase 3
# color/population ASK added for HG002/NA24385
# color/population MKK added for NA21487
population	continental_group	rgb_red_abs	rgb_green_abs	rgb_blue_abs	rgb_abs	rgb_red_rel	rgb_green_rel	rgb_blue_rel	rgb_rel	hex_value	cmyk	cmyk_cyan	cmyk_magenta	cyan_yellow	cyan_black	beckdon_order
ACB	AFR	255	153	0	255,153,0	1.0	0.6	0.0	1.0,0.6,0.0	#FF9900	0,40,100,0	0	40	100	0	7
AFR	AFR	255	205	51	255,205,51	1.0	0.804	0.2	1.0,0.804,0.2	#FFCD33	0,20,80,0	0	20	80	0	0
ASW	AFR	255	102	0	255,102,0	1.0	0.4	0.0	1.0,0.4,0.0	#FF6600	0,60,100,0	0	60	100	0	8
ESN	AFR	255	205	0	255,205,0	1.0	0.804	0.0	1.0,0.804,0.0	#FFCD00	0,20,100,0	0	20	100	0	1
GWD	AFR	255	185	0	255,185,0	1.0	0.725	0.0	1.0,0.725,0.0	#FFB900	0,28,100,0	0	28	100	0	3
LWK	AFR	204	153	51	204,153,51	0.8	0.6	0.2	0.8,0.6,0.2	#CC9933	0,25,75,20	0	25	75	20	6
MKK	AFR	243	167	18	243,167,18	0.953	0.655	0.071	0.953,0.655,0.071	#F3A712	0,31,93,5	0	31	93	5	4
MSL	AFR	225	185	25	225,185,25	0.882	0.725	0.098	0.882,0.725,0.098	#E1B919	0,18,89,12	0	18	89	12	5
YRI	AFR	255	185	51	255,185,51	1.0	0.725	0.2	1.0,0.725,0.2	#FFB933	0,28,80,0	0	28	80	0	2
AMR	AMR	255	61	61	255,61,61	1.0	0.239	0.239	1.0,0.239,0.239	#FF3D3D	0,76,76,0	0	76	76	0	0
CLM	AMR	204	51	51	204,51,51	0.8	0.2	0.2	0.8,0.2,0.2	#CC3333	0,75,75,20	0	75	75	20	3
MXL	AMR	225	0	51	225,0,51	0.882	0.0	0.2	0.882,0.0,0.2	#E10033	0,100,77,12	0	100	77	12	2
PEL	AMR	255	0	0	255,0,0	1.0	0.0	0.0	1.0,0.0,0.0	#FF0000	0,100,100,0	0	100	100	0	1
PUR	AMR	204	51	0	204,51,0	0.8	0.2	0.0	0.8,0.2,0.0	#CC3300	0,75,100,20	0	75	100	20	4
CDX	EAS	51	153	0	51,153,0	0.2	0.6	0.0	0.2,0.6,0.0	#339900	67,0,100,40	67	0	100	40	4
CHB	EAS	173	205	0	173,205,0	0.678	0.804	0.0	0.678,0.804,0.0	#ADCD00	16,0,100,20	16	0	100	20	2
CHS	EAS	0	255	0	0,255,0	0.0	1.0	0.0	0.0,1.0,0.0	#00FF00	100,0,100,0	100	0	100	0	1
EAS	EAS	173	255	51	173,255,51	0.678	1.0	0.2	0.678,1.0,0.2	#ADFF33	32,0,80,0	32	0	80	0	0
JPT	EAS	0	139	0	0,139,0	0.0	0.545	0.0	0.0,0.545,0.0	#008B00	100,0,100,45	100	0	100	45	5
KHV	EAS	0	204	51	0,204,51	0.0	0.8	0.2	0.0,0.8,0.2	#00CC33	100,0,75,20	100	0	75	20	3
ASK	EUR	20	116	218	20,116,218	0.078	0.455	0.855	0.078,0.455,0.855	#1474DA	91,47,0,15	91	47	0	15	4
CEU	EUR	0	0	255	0,0,255	0.0	0.0	1.0	0.0,0.0,1.0	#0000FF	100,100,0,0	100	100	0	0	5
EUR	EUR	100	235	255	100,235,255	0.392	0.922	1.0	0.392,0.922,1.0	#64EBFF	61,8,0,0	61	8	0	0	0
FIN	EUR	0	197	205	0,197,205	0.0	0.773	0.804	0.0,0.773,0.804	#00C5CD	100,4,0,20	100	4	0	20	2
GBR	EUR	0	235	255	0,235,255	0.0	0.922	1.0	0.0,0.922,1.0	#00EBFF	100,8,0,0	100	8	0	0	1
IBS	EUR	100	149	237	100,149,237	0.392	0.584	0.929	0.392,0.584,0.929	#6495ED	58,37,0,7	58	37	0	7	3
TSI	EUR	0	0	139	0,0,139	0.0	0.0	0.545	0.0,0.0,0.545	#00008B	100,100,0,45	100	100	0	45	6
BEB	SAS	139	0	139	139,0,139	0.545	0.0	0.545	0.545,0.0,0.545	#8B008B	0,100,0,45	0	100	0	45	5
GIH	SAS	148	0	211	148,0,211	0.58	0.0	0.827	0.58,0.0,0.827	#9400D3	30,100,0,17	30	100	0	17	4
ITU	SAS	176	48	96	176,48,96	0.69	0.188	0.376	0.69,0.188,0.376	#B03060	0,73,46,31	0	73	46	31	3
PJL	SAS	225	18	137	225,18,137	0.882	0.071	0.537	0.882,0.071,0.537	#E11289	0,92,39,12	0	92	39	12	2
SAS	SAS	255	48	255	255,48,255	1.0	0.188	1.0	1.0,0.188,1.0	#FF30FF	0,81,0,0	0	81	0	0	0
STU	SAS	255	0	255	255,0,255	1.0	0.0	1.0	1.0,0.0,1.0	#FF00FF	0,100,0,0	0	100	0	0	1
