# 20230917T1128
sample	hifi_cov	norm_hifi_cov	ont_cov	norm_ont_cov	ont_ul_cov	norm_ontul_cov
NA19238	25.1/39.9	65.0	53.4	53.4	38.2	38.2
NA19239	26.2/42	68.2	41	41.0	29	29.0
NA19240	28.6/34.8	63.4	61.3	61.3	39.6	39.6
HG00731	33.4/40.5	73.9	60.3	60.3	22.2	22.2
HG00732	44.7	44.7	44	44.0	28.9	28.9
HG00733	99.5	99.5	50X (JAX) (40X UW)	90.0	(32.728 UW, 31.8 JAX)	64.528
HG00512	29.8	29.8	60.5	60.5	24.8	24.8
HG00513	40.9	40.9	78.5	78.5	53.5	53.5
HG00514	24.7	24.7	59.1	59.1	42.7	42.7
HG03732	32	32.0	53.6	53.6	21.3	21.3
HG01573	40.6	40.6	47.5	47.5	29.2	29.2
HG00171	36.3	36.3	51.9	51.9	35.4	35.4
HG02587	39	39.0	46.7	46.7	29.7	29.7
HG01114	34.6	34.6	54.4	54.4	35.8	35.8
HG02018	36.1	36.1	49	49.0	31.5	31.5
NA19036	34.8	34.8	44.5	44.5	29.3	29.3
NA12329	36.7	36.7	49.3	49.3	32.5	32.5
HG02011	39	39.0	59	59.0	19.4	19.4
NA19983	39.6	39.6	49	49.0	32	32.0
HG03371	41	41.0	55.3	55.3	26.7	26.7
HG02492	36	36.0	65.4	65.4	23.5	23.5
HG03009	39.5	39.5	75.7	75.7	25.5	25.5
HG03683	40.7	40.7	53.1	53.1	34.3	34.3
HG03065	40.1	40.1	81.4	81.4	26.4	26.4
NA18534	37.5	37.5	57.6	57.6	26.5	26.5
HG01505	34.6	34.6	52	52.0	34	34.0
NA19650	39	39.0	58.8	58.8	21.9	21.9
NA18939	43.3	43.3	46.8	46.8	26.5	26.5
HG00864	33.1	33.1	42.1	42.1	29.5	29.5
NA20847	28.9	28.9	39.5	39.5	27.8	27.8
NA20509	39	39.0	54.7	54.7	18.6	18.6
HG00096	36.4	36.4	50.8	50.8	16.1	16.1
HG01596	38	38.0	50.5	50.5	17.2	17.2
NA24385	36.8	36.8	0	0.0	0	0.0
NA12878	29	29.0	-1	-1.0	-1	-1.0
HG02818	36.8	36.8	62.4	62.4	32.8	32.8
HG03125	27.4	27.4	-1	-1.0	-1	-1.0
HG03486	39.4	39.4	-1	-1.0	-1	-1.0
HG01352	41.8	41.8	63.6	63.6	32.3	32.3
HG02059	37.1	37.1	54.3	54.3	29.7	29.7
NA19434	27.7	27.7	48	48.0	34.7	34.7
HG04217	35.8	35.8	49	49.0	35.1	35.1
HG03807	37.3	37.3	59	59.0	41.4	41.4
NA19836	32.4	32.4	45.1	45.1	30.7	30.7
HG02106	36.2	36.2	46	46.0	32.9	32.9
HG00268	37	37.0	51	51.0	36.2	36.2
GM20355	37	37.0	47.8	47.8	32.8	32.8
GM19320	35.3	35.3	-1	-1.0	-1	-1.0
GM19129	34.5	34.5	49	49.0	30	30.0
HG02769	38.4	38.4	50.8	50.8	31.6	31.6
HG03452	32.1	32.1	53.7	53.7	31.1	31.1
HG03520	47.2	47.2	45.1	45.1	32.3	32.3
HG02282	43	43.0	48	48.0	33.6	33.6
HG02554	39.6	39.6	79.1	79.1	31.6	31.6
HG02953	38.5	38.5	57.9	57.9	30	30.0
GM21487	42.3	42.3	63.4	63.4	38.5	38.5
NA18989	64.6	64.6	48.7	48.7	36.3	36.3
NA19331	32.9	32.9	48	48.0	35.2	35.2
HG02666	59.4	59.4	59.4	59.4	41.2	41.2
NA19317	68	68.0	63.5	63.5	35.2	35.2
NA19347	55	55.0	63.9	63.9	34.8	34.8
HG03248	41	41.0	42.6	42.6	31	31.0
HG04036	39.3	39.3	53	53.0	32.3	32.3
HG01457	58.7	58.7	55.6	55.6	38.4	38.4
NA19384	56.2	56.2	52.9	52.9	34.5	34.5
HG01890	65.6	65.6	53.4	53.4	27.4	27.4
NA19705	38.5	38.5	66	66.0	23.1	23.1
HG03456	36.8	36.8	60.5	60.5	23.8	23.8
HG00358	69.3	69.3	57	57.0	38.4	38.4
