sample	target	hifi	ont
HG00358	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00358/HG00358_hifi_fastq.hgsvc-JAX-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00358/HG00358_ont_fastq.hgsvc-JAX-2021.fofn
HG00733	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_hifi_fastq.hgsvc-UW-2019.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_hifi_fastq.hgsvc-UW-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_ont_fastq.hgsvc-JAX-2022.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_ont_fastq.hgsvc-UW-2023.fofn
HG00733red1	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_hifi_fastq.hgsvc-UW-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_ont_fastq.hgsvc-JAX-2022.fofn
HG00733red2	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_hifi_fastq.hgsvc-UW-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_ont_fastq.hgsvc-UW-2023.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_ont_fastq.hgsvc-JAX-2022.fofn
HG01457	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01457/HG01457_hifi_fastq.hgsvc-JAX-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01457/HG01457_ont_fastq.hgsvc-JAX-2021.fofn
HG02666	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02666/HG02666_hifi_fastq.hgsvc-JAX-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02666/HG02666_ont_fastq.hgsvc-JAX-2021.fofn
NA18989	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA18989/NA18989_hifi_fastq.hgsvc-JAX-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA18989/NA18989_ont_fastq.hgsvc-JAX-2021.fofn
HG00171	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00171/HG00171_hifi_fastq.hgsvc-UW-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00171/HG00171_ont_fastq.hgsvc-UW-2023.fofn
HG02953	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02953/HG02953_hifi_fastq.hgsvc-UW-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02953/HG02953_ont_fastq.hgsvc-UW-2023.fofn
NA21487	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA21487/NA21487_hifi_fastq.hgsvc-UW-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA21487/NA21487_ont_fastq.hgsvc-UW-2023.fofn
