# 20240130T1027
# 65 samples
sample	target	phasing_paths	hifi	ont
HG00096	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG00096/HG00096_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00096/HG00096_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00096/HG00096_ont_fastq.hgsvc-JAX-2021.fofn
HG00171	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG00171/HG00171_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00171/HG00171_hifi_fastq.hgsvc-UW-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00171/HG00171_ont_fastq.hgsvc-UW-2023.fofn
HG00268	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG00268/HG00268_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00268/HG00268_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00268/HG00268_ont_fastq.hgsvc-JAX-2021.fofn
HG00358	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG00358/HG00358_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00358/HG00358_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00358/HG00358_ont_fastq.hgsvc-JAX-2021.fofn
HG00512	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG00512/HG00512_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00512/HG00512_hifi_fastq.hgsvc-UMIGS-2019.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00512/HG00512_ont_fastq.hgsvc-JAX-2021.fofn
HG00513	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG00513/HG00513_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00513/HG00513_hifi_fastq.hgsvc-UMIGS-2019.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00513/HG00513_ont_fastq.hgsvc-UW-2023.fofn
HG00514	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG00514/HG00514_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00514/HG00514_hifi_fastq.hgsvc-UW-2020.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00514/HG00514_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00514/HG00514_ont_fastq.hgsvc-UW-2023.fofn
HG00731	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG00731/HG00731_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00731/HG00731_hifi_fastq.hgsvc-UW-2019.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00731/HG00731_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00731/HG00731_ont_fastq.hgsvc-JAX-2021.fofn
HG00732	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG00732/HG00732_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00732/HG00732_hifi_fastq.hgsvc-UW-2019.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00732/HG00732_hifi_fastq.hgsvc-UW-2020.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00732/HG00732_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00732/HG00732_ont_fastq.hgsvc-UW-2023.fofn
HG00733	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG00733/HG00733_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_hifi_fastq.hgsvc-UW-2019.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_ont_fastq.hgsvc-JAX-2021.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_ont_fastq.hgsvc-UW-2023.fofn
HG00864	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG00864/HG00864_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00864/HG00864_hifi_fastq.hgsvc-UW-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00864/HG00864_ont_fastq.hgsvc-UW-2023.fofn
HG01114	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG01114/HG01114_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01114/HG01114_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01114/HG01114_ont_fastq.hgsvc-UW-2023.fofn
HG01352	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG01352/HG01352_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01352/HG01352_hifi_fastq.hgsvc-UW-2021.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01352/HG01352_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01352/HG01352_ont_fastq.hgsvc-UW-2023.fofn
HG01457	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG01457/HG01457_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01457/HG01457_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01457/HG01457_ont_fastq.hgsvc-JAX-2021.fofn
HG01505	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG01505/HG01505_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01505/HG01505_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01505/HG01505_ont_fastq.hgsvc-JAX-2021.fofn
HG01573	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG01573/HG01573_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01573/HG01573_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01573/HG01573_ont_fastq.hgsvc-UW-2023.fofn
