# Relative to data status: 20240124T1628
# 20240129T1048
# Samples: 65
# Batch 1: 38 samples
# Batch 2: 15 samples
# Batch 3: 12 samples
sample	batch	target	hifi	ont
HG00096	3	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00096/HG00096_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00096/HG00096_ont_fastq.hgsvc-JAX-2021.fofn
HG00171	1	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00171/HG00171_hifi_fastq.hgsvc-UW-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00171/HG00171_ont_fastq.hgsvc-UW-2023.fofn
HG00268	1	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00268/HG00268_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00268/HG00268_ont_fastq.hgsvc-JAX-2021.fofn
HG00358	1	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00358/HG00358_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00358/HG00358_ont_fastq.hgsvc-JAX-2021.fofn
HG00512	3	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00512/HG00512_hifi_fastq.hgsvc-UMIGS-2019.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00512/HG00512_ont_fastq.hgsvc-JAX-2021.fofn
HG00513	3	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00513/HG00513_hifi_fastq.hgsvc-UMIGS-2019.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00513/HG00513_ont_fastq.hgsvc-UW-2023.fofn
HG00514	3	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00514/HG00514_hifi_fastq.hgsvc-UW-2020.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00514/HG00514_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00514/HG00514_ont_fastq.hgsvc-UW-2023.fofn
HG00731	2	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00731/HG00731_hifi_fastq.hgsvc-UW-2019.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00731/HG00731_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00731/HG00731_ont_fastq.hgsvc-JAX-2021.fofn
HG00732	3	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00732/HG00732_hifi_fastq.hgsvc-UW-2019.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00732/HG00732_hifi_fastq.hgsvc-UW-2020.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00732/HG00732_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00732/HG00732_ont_fastq.hgsvc-UW-2023.fofn
HG00733	1	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_hifi_fastq.hgsvc-UW-2019.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_ont_fastq.hgsvc-JAX-2021.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_ont_fastq.hgsvc-UW-2023.fofn
HG00864	3	unphased	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00864/HG00864_hifi_fastq.hgsvc-UW-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00864/HG00864_ont_fastq.hgsvc-UW-2023.fofn
