# 20240814T2003
sample	sex	population	supergroup	verkko_assembly_accession	datatype	filename	file_accession	project_accession	total_num_grt_0bp	total_length_grt_0bp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_num_grt_100kbp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_num_grt_1Mbp	matched_name	match_quality	reuse_data
HG00096	male	GBR	EUR	ERZ24811348	hifi	JAX_HiFi_HG00096_m64039_220211_040031	ERR10966401	PRJEB58376	2511170	37446279705	12.5	15083	16063	0	0.0	0	0	0	exact-match	exact-match	yes
HG00096	male	GBR	EUR	ERZ24811348	hifi	JAX_HiFi_HG00096_m64039_220218_071556	ERR10966400	PRJEB58376	2582500	38574528774	12.9	15125	16105	0	0.0	0	0	0	exact-match	exact-match	yes
HG00096	male	GBR	EUR	ERZ24811348	hifi	JAX_HiFi_HG00096_m64119_220224_171953	ERR10966402	PRJEB58376	2439282	36691941794	12.2	15250	16185	0	0.0	0	0	0	exact-match	exact-match	yes
HG00096	male	GBR	EUR	ERZ24811348	hifi	all	(summary)	(summary)	7532952	112712750273	37.6	15152	16117	0	0.0	0	0	0	all	(summary)	(summary)
HG00096	male	GBR	EUR	ERZ24811348	ont	20220405_220329_21-lee-006_PC24B149_3D_guppy-5.0.11-sup-prom_fastq_pass	ERR11028129	PRJEB58376	669066	37757487256	12.6	130681	155925	125897	7.7	193549	220021	0	exact-match	exact-match	yes
HG00096	male	GBR	EUR	ERZ24811348	ont	20220408_220405_21-lee-006_PC24B149_2D_guppy-5.0.11-sup-prom_fastq_pass	ERR11028108	PRJEB58376	441434	32324937975	10.8	168748	187182	120719	7.9	211874	234427	1	exact-match	exact-match	yes
HG00096	male	GBR	EUR	ERZ24811348	ont	20220412_220407_21-lee-006_PC24B149_2D_guppy-5.0.11-sup-prom_fastq_pass	ERR11028144	PRJEB58376	76770	4656100916	1.6	145967	167636	16571	1.0	200736	223433	0	exact-match	exact-match	yes
HG00096	male	GBR	EUR	ERZ24811348	ont	20230418_230412_23-lee-007_PC24B149_2C_guppy-5.0.11-sup-prom_fastq_pass	ERR12954396	PRJEB75216	1967312	79792134982	26.6	118060	143382	255103	15.2	185547	212373	3	exact-match	exact-match	yes
HG00096	male	GBR	EUR	ERZ24811348	ont	all	(summary)	(summary)	3154582	154530661129	51.5	131961	156340	518290	31.9	194233	220062	4	all	(summary)	(summary)
HG00096	male	GBR	EUR	ERZ24811348	strandseq	all	(summary)	PRJEB39750	-1	-1	-1.0	-1	-1	-1	-1.0	-1	-1	-1	all	(summary)	yes
