seqnames	start	end	width	score	SD.associated	CHM13.known.coverage.issue
chr1	853688	888397	34710	90	FALSE	TRUE
chr1	1758088	1768449	10362	61	FALSE	FALSE
chr1	9729190	9738354	9165	60	0	FALSE
chr1	51784535	51789881	5347	51	0	0
chr1	231181755	231188206	6452	56	0	0
chr2	199685	208383	8699	67	0	0
chr2	68458020	68478968	20949	53	0	0
chr2	88189595	88197022	7428	71	0	1
chr2	88841741	89350719	508979	67	1	0
chr2	103879667	103890329	10663	59	0	0
chr2	124116953	124123858	6906	70	0	0
chr5	4107912	4120468	12557	56	0	0
chr5	181654593	181665402	10810	79	0	1
chr7	1006696	1025629	18934	50	0	0
chr7	56360866	56368555	7690	54	1	0
chr7	106137837	106141536	3700	51	0	0
chr8	1968419	2147126	178708	61	1	0
chr9	106473340	106485412	12073	51	1	0
chr9	149560889	149609831	48943	50	1	1
chr11	73177354	73182342	4989	60	0	0
chr12	40093197	40102977	9781	49	0	0
chr12	123442339	123456090	13752	67	0	0
chr12	126837694	126844374	6681	53	0	1
chr13	85979467	85985144	5678	48	0	0
chr14	99965639	100630597	664959	59	1	0
chr15	2435083	4794425	2359343	91	1	0
chr15	74894205	74902418	8214	67	0	1
chr18	25225069	25232336	7268	63	0	1
chr18	28043983	28052784	8802	50	0	0
chr19	1009924	1021900	11977	65	1	1
chr19	57498142	57505588	7447	48	0	0
chr19	58806344	58816459	10116	87	0	1
chr20	64880674	64974168	93495	84	0	0
chr21	3107631	5649618	2541988	79	1	0
chr21	7799944	7975668	175725	60	1	0
chr21	8008997	8049383	40387	55	1	0
chr21	9185810	9829225	643416	49	1	0
chr21	42748017	42766958	18942	76	1	0
chr22	4686506	5823668	1137163	82	1	0
chr22	38569384	38578828	9445	71	0	0
chrX	51982661	52043400	60740	49	1	0
chrX	53029364	53045880	16517	63	0	0
chrX	71239419	71370730	131312	52	1	0
chrX	123651353	123667759	16407	64	0	0
