chrom	chromStart	chromEnd	name	strand	thickStart	thickEnd	name2	geneName	geneName2
chr6	147422	206310	NM_001286555.3	+	147475	203906	DUSP22	NM_001286555.3	DUSP22
chr6	147422	206310	NM_020185.6	+	147475	205823	DUSP22	NM_020185.6	DUSP22
chr6	250135	269771	NM_001195286.2	+	251536	265930	IRF4	NM_001195286.2	IRF4
chr6	250135	269771	NM_002460.4	+	251536	265930	IRF4	NM_002460.4	IRF4
chr6	343235	550045	NM_018303.6	-	344752	497027	EXOC2	NM_018303.6	EXOC2
chr6	515148	516310	NM_148959.4	-	515317	516154	HUS1B	NM_148959.4	HUS1B
chr6	1175611	1178272	NM_033260.4	+	1176218	1177430	FOXQ1	NM_033260.4	FOXQ1
chr6	1252761	1258791	NM_001452.2	+	1253133	1258048	FOXF2	NM_001452.2	FOXF2
chr6	1472915	1476901	NM_001453.3	+	1473446	1475111	FOXC1	NM_001453.3	FOXC1
chr6	1486809	2039619	NM_001253846.2	-	1487172	2039571	GMDS	NM_001253846.2	GMDS
chr6	1486809	2109239	NM_001500.4	-	1487172	2109056	GMDS	NM_001500.4	GMDS
chr6	2529216	2616778	NM_001012418.5	-	2536880	2615150	MYLK4	NM_001012418.5	MYLK4
chr6	2529216	2636238	NM_001347872.2	-	2536880	2635975	MYLK4	NM_001347872.2	MYLK4
chr6	2631254	2653114	NM_020135.3	+	2631484	2651444	WRNIP1	NM_020135.3	WRNIP1
chr6	2631254	2653114	NM_130395.3	+	2631484	2651444	WRNIP1	NM_130395.3	WRNIP1
chr6	2698483	2708021	NM_030666.4	-	2699759	2706738	SERPINB1	NM_030666.4	SERPINB1
chr6	2753392	2769547	NM_004155.6	-	2756285	2766829	SERPINB9	NM_004155.6	SERPINB9
chr6	2817070	2831040	NM_001271825.2	-	2817209	2828242	SERPINB6	NM_001271825.2	SERPINB6
chr6	2817070	2839637	NM_001374516.1	-	2817209	2828242	SERPINB6	NM_001374516.1	SERPINB6
chr6	2817070	2840190	NM_001374517.1	-	2817209	2837721	SERPINB6	NM_001374517.1	SERPINB6
chr6	2817070	2840203	NM_001271823.2	-	2817209	2839719	SERPINB6	NM_001271823.2	SERPINB6
chr6	2817070	2840481	NM_001195291.3	-	2817209	2837690	SERPINB6	NM_001195291.3	SERPINB6
chr6	2817070	2840481	NM_001271822.2	-	2817209	2840062	SERPINB6	NM_001271822.2	SERPINB6
chr6	2817070	2840481	NM_001271824.2	-	2817209	2828242	SERPINB6	NM_001271824.2	SERPINB6
chr6	2817070	2840481	NM_001297699.2	-	2817209	2828242	SERPINB6	NM_001297699.2	SERPINB6
chr6	2817070	2840481	NM_001374515.1	-	2817209	2837690	SERPINB6	NM_001374515.1	SERPINB6
