# AUTOGEN TABLE - DO NOT EDIT
# notebooks/tables/asm-stats-summary-table.ipynb|20241126T1122
# Verkko v1.4.1 HGSVC3 phased assemblies
# 65 samples
sequence			asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants
statistic			cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_500kbp_at_3Gbp	length_N50_grt_500kbp	length_auN_grt_500kbp	total_length_grt_500kbp	total_num_grt_500kbp	cov_xfold_grt_1Mbp_at_3Gbp	length_N50_grt_1Mbp	length_auN_grt_1Mbp	total_length_grt_1Mbp	total_num_grt_1Mbp	cov_xfold_grt_10Mbp_at_3Gbp	length_N50_grt_10Mbp	length_auN_grt_10Mbp	total_length_grt_10Mbp	total_num_grt_10Mbp	cov_xfold_grt_50Mbp_at_3Gbp	length_N50_grt_50Mbp	length_auN_grt_50Mbp	total_length_grt_50Mbp	total_num_grt_50Mbp	cov_xfold_grt_100Mbp_at_3Gbp	length_N50_grt_100Mbp	length_auN_grt_100Mbp	total_length_grt_100Mbp	total_num_grt_100Mbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_500kbp_at_3Gbp	length_N50_grt_500kbp	length_auN_grt_500kbp	total_length_grt_500kbp	total_num_grt_500kbp	cov_xfold_grt_1Mbp_at_3Gbp	length_N50_grt_1Mbp	length_auN_grt_1Mbp	total_length_grt_1Mbp	total_num_grt_1Mbp	cov_xfold_grt_10Mbp_at_3Gbp	length_N50_grt_10Mbp	length_auN_grt_10Mbp	total_length_grt_10Mbp	total_num_grt_10Mbp	cov_xfold_grt_50Mbp_at_3Gbp	length_N50_grt_50Mbp	length_auN_grt_50Mbp	total_length_grt_50Mbp	total_num_grt_50Mbp	cov_xfold_grt_100Mbp_at_3Gbp	length_N50_grt_100Mbp	length_auN_grt_100Mbp	total_length_grt_100Mbp	total_num_grt_100Mbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	pct_dip_length_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_10kbp_at_3Gbp	length_N50_grt_10kbp	length_auN_grt_10kbp	total_length_grt_10kbp	total_num_grt_10kbp	cov_xfold_grt_20kbp_at_3Gbp	length_N50_grt_20kbp	length_auN_grt_20kbp	total_length_grt_20kbp	total_num_grt_20kbp	cov_xfold_grt_50kbp_at_3Gbp	length_N50_grt_50kbp	length_auN_grt_50kbp	total_length_grt_50kbp	total_num_grt_50kbp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_1Mbp_at_3Gbp	length_N50_grt_1Mbp	length_auN_grt_1Mbp	total_length_grt_1Mbp	total_num_grt_1Mbp	cov_xfold_grt_10Mbp_at_3Gbp	length_N50_grt_10Mbp	length_auN_grt_10Mbp	total_length_grt_10Mbp	total_num_grt_10Mbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_10kbp_at_3Gbp	length_N50_grt_10kbp	length_auN_grt_10kbp	total_length_grt_10kbp	total_num_grt_10kbp	cov_xfold_grt_20kbp_at_3Gbp	length_N50_grt_20kbp	length_auN_grt_20kbp	total_length_grt_20kbp	total_num_grt_20kbp	cov_xfold_grt_50kbp_at_3Gbp	length_N50_grt_50kbp	length_auN_grt_50kbp	total_length_grt_50kbp	total_num_grt_50kbp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	pct_dip_length_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_10kbp_at_3Gbp	length_N50_grt_10kbp	length_auN_grt_10kbp	total_length_grt_10kbp	total_num_grt_10kbp	cov_xfold_grt_20kbp_at_3Gbp	length_N50_grt_20kbp	length_auN_grt_20kbp	total_length_grt_20kbp	total_num_grt_20kbp	cov_xfold_grt_50kbp_at_3Gbp	length_N50_grt_50kbp	length_auN_grt_50kbp	total_length_grt_50kbp	total_num_grt_50kbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_10kbp_at_3Gbp	length_N50_grt_10kbp	length_auN_grt_10kbp	total_length_grt_10kbp	total_num_grt_10kbp	cov_xfold_grt_20kbp_at_3Gbp	length_N50_grt_20kbp	length_auN_grt_20kbp	total_length_grt_20kbp	total_num_grt_20kbp	cov_xfold_grt_50kbp_at_3Gbp	length_N50_grt_50kbp	length_auN_grt_50kbp	total_length_grt_50kbp	total_num_grt_50kbp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_1Mbp_at_3Gbp	length_N50_grt_1Mbp	length_auN_grt_1Mbp	total_length_grt_1Mbp	total_num_grt_1Mbp
sample	sample_num	verkko_batch																																																																																																																																																																																						
NA19238	1	3	1.0	135826914.0	138798343.0	3035935805.0	94.0	1.0	135826914.0	138872953.0	3034304199.0	47.0	1.0	135826914.0	138968773.0	3032208841.0	35.0	1.0	135826914.0	139025359.0	3030969141.0	33.0	1.0	135826914.0	139629503.0	3017615715.0	27.0	1.0	135826914.0	143781875.0	2902594634.0	23.0	0.8	146328730.0	161127025.0	2280516839.0	15.0	1.0	145973514.0	151601499.0	3023070424.0	89.0	1.0	145973514.0	151676293.0	3021579253.0	44.0	1.0	145973514.0	151806162.0	3018991133.0	29.0	1.0	145973514.0	151877659.0	3017562623.0	27.0	1.0	145973514.0	152236406.0	3010271382.0	25.0	0.9	145973514.0	160221043.0	2806829858.0	20.0	0.8	162448886.0	176368210.0	2321370538.0	14.0	0.0	646745.0	1837666.0	0.592	35846087.0	190.0	0.0	646745.0	1840555.0	35789564.0	183.0	0.0	646745.0	1868347.0	35252538.0	149.0	0.0	711489.0	1983538.0	33171770.0	81.0	0.0	1063587.0	2061625.0	31867972.0	63.0	0.0	4631183.0	3711560.0	16178423.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	33629.0	103765.0	29628604.0	843.0	0.0	33743.0	104032.0	29545714.0	833.0	0.0	38770.0	118414.0	25385017.0	570.0	0.0	219728.0	227887.0	11385840.0	72.0	0.0	243411.0	255728.0	9707384.0	46.0	0.0	26931.0	31862.0	0.017	1044759.0	42.0	0.0	26931.0	31991.0	1039772.0	41.0	0.0	35575.0	37813.0	765380.0	23.0	0.0	56065.0	59813.0	176066.0	3.0	0.1	31061.0	31463.0	302004065.0	10491.0	0.1	31064.0	31480.0	301792582.0	10459.0	0.1	31992.0	32963.0	275020889.0	8764.0	0.0	52614.0	53256.0	7175141.0	135.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA19239	2	3	1.0	137806277.0	137756582.0	2990792692.0	55.0	1.0	137806277.0	137767810.0	2990548880.0	46.0	1.0	137806277.0	137805113.0	2989737579.0	42.0	1.0	137806277.0	137878855.0	2988128749.0	40.0	1.0	137806277.0	139856512.0	2944581572.0	29.0	0.9	140424518.0	148308583.0	2731619341.0	21.0	0.7	160303624.0	168544812.0	2096099533.0	13.0	1.0	138195728.0	139053921.0	3012812307.0	63.0	1.0	138195728.0	139105830.0	3011687552.0	40.0	1.0	138195728.0	139237794.0	3008826281.0	30.0	1.0	138195728.0	139268199.0	3008166271.0	29.0	1.0	138195728.0	139715587.0	2998294583.0	26.0	0.9	138195728.0	144850501.0	2849540253.0	22.0	0.8	145863170.0	160216983.0	2289866632.0	15.0	0.0	464520.0	723183.0	0.213	12805703.0	76.0	0.0	464520.0	723183.0	12805703.0	76.0	0.0	464520.0	733544.0	12620826.0	64.0	0.0	464520.0	760362.0	12156502.0	48.0	0.0	466821.0	823263.0	11142891.0	33.0	0.0	2471136.0	2471136.0	2471136.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	33220.0	69973.0	20546738.0	636.0	0.0	33220.0	70028.0	20528222.0	634.0	0.0	37038.0	79123.0	17564318.0	445.0	0.0	179069.0	188192.0	5293966.0	41.0	0.0	189896.0	227040.0	4005067.0	21.0	0.0	24476.0	30341.0	0.006	350852.0	15.0	0.0	24476.0	30341.0	350852.0	15.0	0.0	26678.0	38419.0	224158.0	7.0	0.0	64796.0	64796.0	64796.0	1.0	0.0	42.0	42.0	42.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA19240	3	3	1.0	134879887.0	135172031.0	2975688928.0	76.0	1.0	134879887.0	135199433.0	2975085646.0	56.0	1.0	134879887.0	135399564.0	2970679949.0	36.0	1.0	134879887.0	135426693.0	2970082229.0	35.0	1.0	134879887.0	136827708.0	2938543965.0	26.0	0.9	134879887.0	141931245.0	2793851328.0	22.0	0.7	138602007.0	157102354.0	2218267828.0	15.0	1.0	153988297.0	147939422.0	3025562967.0	63.0	1.0	153988297.0	147961386.0	3025113680.0	52.0	1.0	153988297.0	148120165.0	3021866102.0	35.0	1.0	153988297.0	148225183.0	3019714614.0	32.0	1.0	153988297.0	149289504.0	2997598666.0	26.0	1.0	153988297.0	154704574.0	2854342752.0	22.0	0.7	184647447.0	182364150.0	2095611980.0	12.0	0.0	51136721.0	36340395.0	1.205	72299624.0	106.0	0.0	51136721.0	36344925.0	72290610.0	105.0	0.0	51136721.0	36570885.0	71843757.0	76.0	0.0	51136721.0	36905868.0	71191127.0	53.0	0.0	51136721.0	37004060.0	71001882.0	50.0	0.0	51136721.0	47932338.0	54642329.0	4.0	0.0	51136721.0	51136721.0	51136721.0	1.0	0.0	37288.0	109466.0	32329683.0	861.0	0.0	37288.0	109586.0	32291178.0	856.0	0.0	41965.0	121948.0	28528573.0	613.0	0.0	222220.0	238016.0	12495421.0	77.0	0.0	260186.0	271331.0	10435544.0	46.0	0.0	27945.0	37803.0	0.006	333038.0	12.0	0.0	27945.0	37803.0	333038.0	12.0	0.0	32189.0	42729.0	272599.0	8.0	0.0	78127.0	78127.0	78127.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HG00731	4	2	1.0	146173010.0	151058330.0	3013787576.0	37.0	1.0	146173010.0	151072035.0	3013514080.0	30.0	1.0	146173010.0	151072035.0	3013514080.0	30.0	1.0	146173010.0	151115688.0	3012638490.0	29.0	1.0	146173010.0	152043944.0	2993751505.0	24.0	1.0	146173010.0	156836136.0	2869153286.0	21.0	0.8	171180058.0	175054144.0	2297131939.0	14.0	1.0	137762233.0	144325546.0	2947088956.0	51.0	1.0	137762233.0	144353143.0	2946525275.0	40.0	1.0	137762233.0	144438711.0	2944775238.0	35.0	1.0	137762233.0	144627550.0	2940908974.0	30.0	1.0	146263257.0	145260339.0	2927857467.0	25.0	0.9	146263257.0	148913394.0	2829922615.0	22.0	0.7	160934068.0	168276863.0	2218653945.0	14.0	0.0	300122.0	378957.0	0.183	10912876.0	74.0	0.0	300122.0	379923.0	10884416.0	71.0	0.0	300122.0	386213.0	10700636.0	57.0	0.0	315415.0	403912.0	10188454.0	41.0	0.0	419690.0	438277.0	9220940.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34289.0	90923.0	12864579.0	376.0	0.0	34654.0	91798.0	12728341.0	361.0	0.0	39522.0	103179.0	11061918.0	255.0	0.0	196870.0	206873.0	4539530.0	33.0	0.0	221151.0	256488.0	3332055.0	15.0	0.0	17576.0	21552.0	0.01	589842.0	33.0	0.0	17834.0	21951.0	571131.0	31.0	0.0	28401.0	31850.0	235891.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	13169.0	13781.0	78241.0	7.0	0.0	13709.0	16103.0	59584.0	4.0	0.0	21979.0	21979.0	21979.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HG00732	5	3	1.0	134653171.0	143660727.0	2882599120.0	55.0	1.0	134653171.0	143686329.0	2882085325.0	39.0	1.0	134653171.0	143775208.0	2880298078.0	35.0	1.0	134653171.0	143901919.0	2877750478.0	31.0	1.0	134653171.0	144840514.0	2858582077.0	26.0	0.9	144929804.0	151714493.0	2687689906.0	21.0	0.7	172126289.0	173367758.0	2069218941.0	13.0	1.0	134386536.0	117926921.0	3023647997.0	149.0	1.0	134386536.0	117973400.0	3022456220.0	121.0	1.0	134386536.0	118236896.0	3015700097.0	97.0	1.0	134386536.0	118917192.0	2998347274.0	71.0	1.0	134386536.0	124428659.0	2860476036.0	29.0	0.9	134401725.0	132016584.0	2627546946.0	22.0	0.7	145937184.0	147994031.0	1997547058.0	14.0	0.1	1291735.0	2343145.0	2.946	174019113.0	713.0	0.1	1291735.0	2344758.0	173898953.0	698.0	0.1	1336847.0	2358578.0	172873073.0	631.0	0.1	1521102.0	2486667.0	163849752.0	337.0	0.1	1551337.0	2570187.0	158361313.0	262.0	0.0	3149871.0	4074947.0	93457911.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	44723.0	133817.0	55912912.0	1304.0	0.0	44792.0	134260.0	55714998.0	1281.0	0.0	74153.0	145480.0	50865794.0	979.0	0.0	249181.0	247153.0	27006628.0	153.0	0.0	276601.0	270751.0	23795591.0	106.0	0.0	28409.0	34779.0	0.032	1899955.0	71.0	0.0	28842.0	35136.0	1874059.0	68.0	0.0	30689.0	37816.0	1645133.0	53.0	0.0	83484.0	84605.0	249450.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HG00733	6	1	1.0	135320614.0	128036326.0	3025928493.0	51.0	1.0	135320614.0	128054414.0	3025500931.0	37.0	1.0	135320614.0	128061160.0	3025341370.0	36.0	1.0	135320614.0	128061160.0	3025341370.0	36.0	1.0	135320614.0	128939903.0	3004265808.0	28.0	1.0	137752880.0	133747658.0	2850542218.0	24.0	0.7	146283149.0	156653030.0	1962962960.0	13.0	1.0	136679475.0	140924715.0	3029673247.0	64.0	1.0	136679475.0	140963120.0	3028847647.0	32.0	1.0	136679475.0	140976379.0	3028562201.0	31.0	1.0	136679475.0	141008139.0	3027876712.0	30.0	1.0	136679475.0	141753782.0	3011525897.0	25.0	1.0	136679475.0	144641787.0	2926048362.0	23.0	0.8	146011511.0	162004407.0	2290766283.0	15.0	0.0	208124.0	228801.0	0.246	14896652.0	153.0	0.0	208124.0	229203.0	14869697.0	149.0	0.0	210279.0	236224.0	14397359.0	117.0	0.0	228300.0	258799.0	12955145.0	71.0	0.0	238114.0	286476.0	11250111.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35374.0	64881.0	33548786.0	1062.0	0.0	35673.0	65165.0	33380650.0	1042.0	0.0	39725.0	74377.0	28125995.0	701.0	0.0	106072.0	155720.0	9483047.0	98.0	0.0	260973.0	242599.0	4862091.0	24.0	0.0	21495.0	22706.0	0.013	814300.0	44.0	0.0	21753.0	23720.0	760145.0	37.0	0.0	26595.0	29037.0	463812.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	19183.0	19604.0	123698.0	7.0	0.0	19183.0	19604.0	123698.0	7.0	0.0	27154.0	26014.0	51918.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HG00512	7	3	1.0	134238662.0	126205847.0	2976297061.0	264.0	1.0	134238662.0	126422958.0	2971183834.0	123.0	1.0	134238662.0	126993263.0	2957807397.0	71.0	1.0	134238662.0	127303915.0	2950550378.0	60.0	1.0	134621844.0	131149097.0	2860544349.0	33.0	0.8	136673688.0	147848440.0	2431719740.0	20.0	0.5	182030093.0	184327923.0	1577082737.0	9.0	1.0	134441569.0	133318024.0	2997759871.0	119.0	1.0	134441569.0	133411070.0	2995668318.0	62.0	1.0	134441569.0	133662739.0	2990014038.0	42.0	1.0	134441569.0	133849485.0	2985820280.0	36.0	1.0	134441569.0	134788974.0	2964305867.0	30.0	0.9	150173048.0	148685545.0	2590021677.0	20.0	0.6	171377625.0	170512928.0	1946511130.0	12.0	0.0	237342.0	441559.0	0.977	58387721.0	480.0	0.0	237342.0	441559.0	58387721.0	480.0	0.0	239148.0	450249.0	57220633.0	403.0	0.0	263347.0	485794.0	52702589.0	268.0	0.0	288253.0	537827.0	46832275.0	182.0	0.0	1966297.0	1933308.0	7721112.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	73662.0	132362.0	17826231.0	399.0	0.0	73662.0	132608.0	17790806.0	395.0	0.0	138186.0	148551.0	15649235.0	259.0	0.0	211125.0	211210.0	10237785.0	68.0	0.0	235998.0	244807.0	8292824.0	38.0	0.0	22471.0	24802.0	0.012	736642.0	36.0	0.0	22892.0	25383.0	711219.0	33.0	0.0	25648.0	31022.0	445890.0	16.0	0.0	56260.0	56260.0	56260.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HG00513	8	3	1.0	109448454.0	113128242.0	3016187937.0	85.0	1.0	109448454.0	113151513.0	3015567438.0	63.0	1.0	109448454.0	113300999.0	3011578462.0	47.0	1.0	109448454.0	113370737.0	3009715712.0	44.0	1.0	130469768.0	114736303.0	2972437819.0	32.0	0.9	130469768.0	120091126.0	2786829448.0	26.0	0.6	139978309.0	142841300.0	1805833417.0	13.0	1.0	136366881.0	146324023.0	3016584982.0	70.0	1.0	136366881.0	146360221.0	3015838676.0	47.0	1.0	136366881.0	146499312.0	3012969673.0	35.0	1.0	136366881.0	146574554.0	3011414581.0	33.0	1.0	136366881.0	147271715.0	2996831022.0	28.0	0.9	161915233.0	155943374.0	2782471461.0	21.0	0.7	171068284.0	177667262.0	2157121742.0	13.0	0.0	367428.0	746614.0	1.11	66975377.0	375.0	0.0	367428.0	747008.0	66939682.0	370.0	0.0	375065.0	757782.0	65968369.0	305.0	0.0	382033.0	784538.0	63620184.0	228.0	0.0	401283.0	820314.0	60581532.0	184.0	0.0	2159385.0	2321245.0	14463870.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	158577.0	175922.0	34190334.0	611.0	0.0	158577.0	176552.0	34062238.0	595.0	0.0	171231.0	194537.0	30631061.0	374.0	0.0	226800.0	243197.0	23613177.0	130.0	0.0	248571.0	262771.0	21169299.0	95.0	0.0	19140.0	23483.0	0.02	1178379.0	62.0	0.0	19993.0	23826.0	1150544.0	59.0	0.0	26840.0	32608.0	561153.0	20.0	0.0	70563.0	70563.0	70563.0	1.0	0.0	931468.0	700159.0	1246336.0	23.0	0.0	931468.0	715431.0	1219450.0	19.0	0.0	931468.0	890193.0	975765.0	3.0	0.0	931468.0	931468.0	931468.0	1.0	0.0	931468.0	931468.0	931468.0	1.0	0.0	0.0	0.0	0.0	0.0
