# AUTOGEN TABLE - DO NOT EDIT
# notebooks/tables/asm-stats-summary-table.ipynb|20240531T1622
# hifiasm v0.19.5 HGSVC3 phased assemblies
# 65 samples
sequence			asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2
statistic			cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_500kbp_at_3Gbp	length_N50_grt_500kbp	length_auN_grt_500kbp	total_length_grt_500kbp	total_num_grt_500kbp	cov_xfold_grt_1Mbp_at_3Gbp	length_N50_grt_1Mbp	length_auN_grt_1Mbp	total_length_grt_1Mbp	total_num_grt_1Mbp	cov_xfold_grt_10Mbp_at_3Gbp	length_N50_grt_10Mbp	length_auN_grt_10Mbp	total_length_grt_10Mbp	total_num_grt_10Mbp	cov_xfold_grt_50Mbp_at_3Gbp	length_N50_grt_50Mbp	length_auN_grt_50Mbp	total_length_grt_50Mbp	total_num_grt_50Mbp	cov_xfold_grt_100Mbp_at_3Gbp	length_N50_grt_100Mbp	length_auN_grt_100Mbp	total_length_grt_100Mbp	total_num_grt_100Mbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_500kbp_at_3Gbp	length_N50_grt_500kbp	length_auN_grt_500kbp	total_length_grt_500kbp	total_num_grt_500kbp	cov_xfold_grt_1Mbp_at_3Gbp	length_N50_grt_1Mbp	length_auN_grt_1Mbp	total_length_grt_1Mbp	total_num_grt_1Mbp	cov_xfold_grt_10Mbp_at_3Gbp	length_N50_grt_10Mbp	length_auN_grt_10Mbp	total_length_grt_10Mbp	total_num_grt_10Mbp	cov_xfold_grt_50Mbp_at_3Gbp	length_N50_grt_50Mbp	length_auN_grt_50Mbp	total_length_grt_50Mbp	total_num_grt_50Mbp	cov_xfold_grt_100Mbp_at_3Gbp	length_N50_grt_100Mbp	length_auN_grt_100Mbp	total_length_grt_100Mbp	total_num_grt_100Mbp
sample	sample_num	verkko_batch																																																																						
NA19238	1	3	1.1	118772394.0	121628230.0	3346697124.0	239.0	1.1	118772394.0	121941840.0	3338085647.0	82.0	1.1	118772394.0	122111467.0	3333437715.0	62.0	1.1	118772394.0	122210632.0	3330717131.0	58.0	1.1	133592299.0	124464612.0	3268008746.0	40.0	1.0	134881198.0	135971495.0	2917304605.0	25.0	0.7	146572804.0	161785891.0	1985107762.0	13.0	1.2	132806438.0	121505835.0	3487243844.0	104.0	1.2	132806438.0	121512800.0	3487043875.0	101.0	1.2	132806438.0	121542593.0	3486187384.0	97.0	1.2	132806438.0	121609803.0	3484249807.0	94.0	1.1	133507434.0	128327532.0	3294914872.0	42.0	1.0	134177038.0	141131142.0	2928693412.0	24.0	0.7	162392452.0	162601819.0	2162345818.0	14.0
NA19239	2	3	1.2	109304476.0	119780165.0	3614175859.0	125.0	1.2	109304476.0	119849306.0	3612089935.0	77.0	1.2	109304476.0	119953767.0	3608938060.0	61.0	1.2	109304476.0	120051889.0	3605969430.0	57.0	1.2	115791664.0	121872700.0	3549959426.0	42.0	1.0	132478892.0	133883983.0	3122750141.0	28.0	0.7	146813898.0	161423541.0	2107462021.0	14.0	1.2	108047135.0	116316770.0	3576883586.0	76.0	1.2	108047135.0	116323003.0	3576691807.0	73.0	1.2	108047135.0	116339135.0	3576195103.0	70.0	1.2	108047135.0	116359219.0	3575574535.0	69.0	1.2	108926541.0	120298076.0	3451598167.0	47.0	1.0	134209597.0	134055880.0	3007733501.0	27.0	0.6	172178979.0	166962226.0	1887653876.0	12.0
NA19240	3	3	1.2	136035125.0	127702204.0	3566481827.0	167.0	1.2	136035125.0	127840134.0	3562632127.0	85.0	1.2	136035125.0	128037553.0	3557127805.0	59.0	1.2	136035125.0	128094039.0	3555549401.0	57.0	1.2	136706183.0	131129240.0	3469200659.0	38.0	1.0	146488407.0	146656616.0	2982583816.0	23.0	0.7	169886630.0	167384241.0	2235802916.0	14.0	1.2	134588038.0	123255347.0	3604667939.0	81.0	1.2	134588038.0	123268408.0	3604285804.0	75.0	1.2	134588038.0	123314077.0	3602946825.0	71.0	1.2	134588038.0	123359918.0	3601600623.0	69.0	1.2	134588038.0	127788422.0	3470136314.0	42.0	1.0	143115493.0	144707946.0	2947563919.0	23.0	0.8	154316217.0	162215766.0	2303745213.0	15.0
HG00731	4	2	1.1	109308030.0	103427438.0	3295237027.0	226.0	1.1	109308030.0	103576542.0	3290491215.0	101.0	1.1	109308030.0	103762907.0	3284564231.0	76.0	1.1	109308030.0	103923292.0	3279458675.0	69.0	1.0	110340151.0	108054758.0	3146837662.0	40.0	1.0	111109706.0	115129479.0	2901945304.0	28.0	0.7	133241319.0	132048347.0	2048358570.0	16.0	1.1	106721156.0	102908359.0	3292340218.0	91.0	1.1	106721156.0	102918168.0	3292026209.0	87.0	1.1	106721156.0	102940218.0	3291319720.0	83.0	1.1	106721156.0	103033301.0	3288324278.0	79.0	1.0	110355768.0	108335434.0	3118839195.0	39.0	1.0	111025910.0	114933435.0	2892276852.0	28.0	0.7	133434412.0	131930848.0	2046416413.0	16.0
HG00732	5	3	1.0	92664757.0	81609263.0	2885760303.0	251.0	1.0	92664757.0	81758691.0	2880482410.0	134.0	1.0	92664757.0	82102526.0	2868382762.0	74.0	1.0	92664757.0	82291740.0	2861724843.0	65.0	0.9	93085424.0	84236960.0	2791429102.0	45.0	0.8	98156682.0	94706986.0	2355137788.0	27.0	0.3	108915764.0	117245497.0	1039746637.0	9.0	1.1	96969982.0	86014592.0	3176704260.0	327.0	1.1	96969982.0	86141000.0	3172039559.0	224.0	1.1	98382440.0	86649045.0	3153377221.0	147.0	1.0	98382440.0	87402975.0	3125932593.0	110.0	1.0	101004739.0	92338262.0	2951304942.0	45.0	0.8	110312894.0	104704831.0	2448076190.0	26.0	0.5	126513515.0	125108042.0	1481617644.0	12.0
HG00733	6	1	1.1	99564766.0	94841800.0	3258246164.0	408.0	1.1	99564766.0	95101278.0	3249351208.0	191.0	1.1	99564766.0	95688007.0	3229364113.0	112.0	1.1	99564766.0	96199776.0	3212053836.0	87.0	1.0	100409932.0	101109116.0	3048180009.0	40.0	0.9	103186771.0	112656446.0	2582926572.0	26.0	0.5	133283218.0	136480435.0	1553318937.0	12.0	1.1	99545760.0	96015209.0	3180848984.0	150.0	1.1	99545760.0	96070266.0	3179024742.0	123.0	1.1	99545760.0	96255568.0	3172883036.0	102.0	1.1	99545760.0	96575489.0	3162286141.0	88.0	1.0	101610105.0	100475199.0	3034466508.0	41.0	0.9	104349492.0	112541749.0	2556325870.0	26.0	0.5	133243114.0	136107603.0	1555845346.0	12.0
HG00512	7	3	1.0	57213034.0	73186302.0	2997284420.0	316.0	1.0	81540849.0	73342763.0	2990885356.0	171.0	1.0	81540849.0	73623385.0	2979445938.0	116.0	1.0	81540849.0	73930716.0	2966937115.0	98.0	0.9	82032785.0	77755672.0	2810198589.0	55.0	0.6	94237537.0	101942936.0	1823195097.0	20.0	0.3	128550297.0	129239549.0	884747362.0	7.0	1.0	58111413.0	64576714.0	2993566271.0	623.0	1.0	58111413.0	64887384.0	2979220707.0	313.0	1.0	59041586.0	65605920.0	2946448935.0	172.0	1.0	59041586.0	66281699.0	2916073085.0	129.0	0.9	69675666.0	71460683.0	2692132211.0	53.0	0.6	88188283.0	90164996.0	1806317677.0	22.0	0.2	111674852.0	120976732.0	599422261.0	5.0
HG00513	8	3	1.1	103572681.0	100970783.0	3215463960.0	292.0	1.1	103572681.0	101128304.0	3210452902.0	155.0	1.1	103572681.0	101469783.0	3199619918.0	108.0	1.1	103572681.0	101742506.0	3190979756.0	96.0	1.0	104354865.0	107603503.0	3010022984.0	40.0	0.8	130465918.0	123198461.0	2481144797.0	22.0	0.5	140085433.0	141585173.0	1647826631.0	12.0	1.1	103497336.0	101237630.0	3228088688.0	135.0	1.1	103497336.0	101258936.0	3227409015.0	123.0	1.1	103497336.0	101325528.0	3225281053.0	116.0	1.1	103497336.0	101404289.0	3222759249.0	112.0	1.0	104346991.0	108249508.0	3011252015.0	39.0	0.8	133284898.0	123522002.0	2490672277.0	22.0	0.6	142095852.0	139710047.0	1755988182.0	13.0
