hap	total_err	total_length	sample	qv_est
H0	1412	130681985	HG00171.vrk-ps-sseq	50
H1	14487	3034998314	HG00171.vrk-ps-sseq	53
H2	9856	3005145731	HG00171.vrk-ps-sseq	55
wg	25755	6170826030	HG00171.vrk-ps-sseq	54
H0	1573	54963651	HG00268.vrk-ps-sseq	45
H1	17841	3023974285	HG00268.vrk-ps-sseq	52
H2	18113	3012379270	HG00268.vrk-ps-sseq	52
wg	37527	6091317206	HG00268.vrk-ps-sseq	52
H0	2685	88126326	HG00358.vrk-ps-sseq	45
H1	9076	2916401720	HG00358.vrk-ps-sseq	55
H2	9445	3026193410	HG00358.vrk-ps-sseq	55
wg	21206	6030721456	HG00358.vrk-ps-sseq	55
H0	2119	37264496	HG00731.vrk-ps-sseq	42
H1	9156	3013787576	HG00731.vrk-ps-sseq	55
H2	12059	2947088956	HG00731.vrk-ps-sseq	54
wg	23334	5998141028	HG00731.vrk-ps-sseq	54
H0	4373	57155744	HG00733.vrk-ps-sseq	41
H1	14660	3026695099	HG00733.vrk-ps-sseq	53
H2	11588	3030462014	HG00733.vrk-ps-sseq	54
wg	30621	6114312857	HG00733.vrk-ps-sseq	53
H0	1453	133451659	HG01114.vrk-ps-sseq	50
H1	15555	3029021955	HG01114.vrk-ps-sseq	53
H2	14384	3020406895	HG01114.vrk-ps-sseq	53
wg	31392	6182880509	HG01114.vrk-ps-sseq	53
H0	4214	62041053	HG01352.vrk-ps-sseq	42
H1	22928	3038679813	HG01352.vrk-ps-sseq	51
H2	16633	3007493443	HG01352.vrk-ps-sseq	53
wg	43775	6108214309	HG01352.vrk-ps-sseq	51
H0	1513	53381510	HG01457.vrk-ps-sseq	45
H1	16722	3016687360	HG01457.vrk-ps-sseq	53
H2	8338	2916348944	HG01457.vrk-ps-sseq	55
wg	26573	5986417814	HG01457.vrk-ps-sseq	54
H0	2115	56142575	HG01505.vrk-ps-sseq	44
H1	11452	2923832210	HG01505.vrk-ps-sseq	54
H2	10114	3022439749	HG01505.vrk-ps-sseq	55
wg	23681	6002414534	HG01505.vrk-ps-sseq	54
H0	2420	408853224	HG01573.vrk-ps-sseq	52
H1	11360	3011509228	HG01573.vrk-ps-sseq	54
H2	8842	3021829616	HG01573.vrk-ps-sseq	55
wg	22622	6442192068	HG01573.vrk-ps-sseq	55
H0	1549	50406131	HG01596.vrk-ps-sseq	45
H1	20595	2953765394	HG01596.vrk-ps-sseq	52
H2	17801	2986453958	HG01596.vrk-ps-sseq	52
wg	39945	5990625483	HG01596.vrk-ps-sseq	52
H0	1451	27476751	HG01890.vrk-ps-sseq	43
H1	13163	3010670561	HG01890.vrk-ps-sseq	54
H2	17675	2956277345	HG01890.vrk-ps-sseq	52
wg	32289	5994424657	HG01890.vrk-ps-sseq	53
H0	1612	26665343	HG02011.vrk-ps-sseq	42
H1	10467	2965935446	HG02011.vrk-ps-sseq	55
H2	8952	3005996725	HG02011.vrk-ps-sseq	55
wg	21031	5998597514	HG02011.vrk-ps-sseq	55
H0	4065	391626135	HG02018.vrk-ps-sseq	50
H1	16033	3027577430	HG02018.vrk-ps-sseq	53
H2	11590	3006583842	HG02018.vrk-ps-sseq	54
wg	31688	6425787407	HG02018.vrk-ps-sseq	53
H0	6048	69871797	HG02059.vrk-ps-sseq	41
H1	17226	3017830197	HG02059.vrk-ps-sseq	52
H2	21573	3001063630	HG02059.vrk-ps-sseq	51
wg	44847	6088765624	HG02059.vrk-ps-sseq	51
H0	3810	125797194	HG02106.vrk-ps-sseq	45
H1	14380	3007296335	HG02106.vrk-ps-sseq	53
H2	14133	2999825424	HG02106.vrk-ps-sseq	53
wg	32323	6132918953	HG02106.vrk-ps-sseq	53
H0	3303	60981627	HG02282.vrk-ps-sseq	43
H1	17009	3038216117	HG02282.vrk-ps-sseq	53
H2	15000	3042320044	HG02282.vrk-ps-sseq	53
wg	35312	6141517788	HG02282.vrk-ps-sseq	52
H0	2045	63068889	HG02492.vrk-ps-sseq	45
H1	16028	2934705001	HG02492.vrk-ps-sseq	53
H2	14603	3010998320	HG02492.vrk-ps-sseq	53
wg	32676	6008772210	HG02492.vrk-ps-sseq	53
H0	3368	55363785	HG02554.vrk-ps-sseq	42
