# AUTOGEN TABLE - DO NOT EDIT
# notebooks/plotting/main_fig1/plot-qv-estimates.ipynb|20241206T1049
sample	sequence	merqury_error_kmer	merqury_total_kmer	merqury_qv_est	merqury_error_rate	asm_unit	assembler	seq_length	variant_adj_length	variant_num_errors	variant_qv_est	assembly
HG00096	h1tg000001l#1-90193146	2680	90193126	58.4925	1.41497e-06	hap1	hifiasm	90193146	90193146	516	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000002l#1-95820490	1107	95820470	62.5953	5.50139e-07	hap1	hifiasm	95820490	95820490	751	51.0	HG00096.hsm-ps-sseq
HG00096	h1tg000003l#1-68845979	1668	68845959	59.379	1.15373e-06	hap1	hifiasm	68845979	68845979	470	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000004l#1-133729032	4267	133729012	58.1832	1.51944e-06	hap1	hifiasm	133729032	133729032	812	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000005l#1-128058815	2193	128058795	60.8859	8.1548e-07	hap1	hifiasm	128058815	128058815	782	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000006l#1-66518088	1102	66518068	61.0297	7.88908e-07	hap1	hifiasm	66518088	66518088	441	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000007l#1-104444532	1028	104444512	63.2911	4.68695e-07	hap1	hifiasm	104444532	104444532	605	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000008l#1-88547300	1471	88547280	61.0178	7.91082e-07	hap1	hifiasm	88547300	88547300	541	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000009l#1-67027635	1603	67027615	59.4353	1.13885e-06	hap1	hifiasm	67027635	67027635	798	49.0	HG00096.hsm-ps-sseq
HG00096	h1tg000009l#67027684-200681507	2269	133653804	60.9236	8.08421e-07	hap1	hifiasm	133653824	133653824	448	55.0	HG00096.hsm-ps-sseq
HG00096	h1tg000010l#1-60036336	1548	60036316	59.1086	1.22784e-06	hap1	hifiasm	60036336	60036336	302	53.0	HG00096.hsm-ps-sseq
HG00096	h1tg000011l#1-33372839	745	33372819	59.7345	1.06304e-06	hap1	hifiasm	33372839	33372839	252	51.0	HG00096.hsm-ps-sseq
HG00096	h1tg000012l#1-111574460	1581	111574440	61.7085	6.74762e-07	hap1	hifiasm	111574460	111574460	542	53.0	HG00096.hsm-ps-sseq
HG00096	h1tg000013l#1-139691501	4145	139691481	58.4986	1.413e-06	hap1	hifiasm	139691501	139691501	1503	50.0	HG00096.hsm-ps-sseq
HG00096	h1tg000014l#1-26424009	965	26423989	57.5968	1.73907e-06	hap1	hifiasm	26424009	26424009	134	53.0	HG00096.hsm-ps-sseq
HG00096	h1tg000015l#1-133884382	3908	133884362	58.5699	1.38999e-06	hap1	hifiasm	133884382	133884382	910	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000015l#133884426-161324248	891	27439803	58.1072	1.54627e-06	hap1	hifiasm	27439823	27439823	492	47.0	HG00096.hsm-ps-sseq
HG00096	h1tg000016l#1-73015436	1010	73015416	61.8131	6.58704e-07	hap1	hifiasm	73015436	73015436	361	53.0	HG00096.hsm-ps-sseq
HG00096	h1tg000017l#1-110175619	928	110175599	63.9675	4.01093e-07	hap1	hifiasm	110175619	110175619	525	53.0	HG00096.hsm-ps-sseq
HG00096	h1tg000018l#1-58329236	752	58329216	62.1188	6.13925e-07	hap1	hifiasm	58329236	58329236	407	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000019l#1-86187717	3198	86187697	57.5278	1.76694e-06	hap1	hifiasm	86187717	86187717	519	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000020l#1-134864016	2768	134863996	60.0994	9.77361e-07	hap1	hifiasm	134864016	134864016	757	53.0	HG00096.hsm-ps-sseq
HG00096	h1tg000021l#1-51765069	1264	51765049	59.345	1.16278e-06	hap1	hifiasm	51765069	51765069	213	54.0	HG00096.hsm-ps-sseq
HG00096	h1tg000022l#1-172349692	2514	172349672	61.5826	6.94606e-07	hap1	hifiasm	172349692	172349692	802	53.0	HG00096.hsm-ps-sseq
HG00096	h1tg000023l#1-41368255	366	41368235	63.754	4.21305e-07	hap1	hifiasm	41368255	41368255	216	53.0	HG00096.hsm-ps-sseq
HG00096	h1tg000024l#1-100422215	2875	100422195	58.6541	1.36331e-06	hap1	hifiasm	100422215	100422215	580	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000025l#1-46954959	1584	46954939	57.9414	1.60643e-06	hap1	hifiasm	46954959	46954959	191	54.0	HG00096.hsm-ps-sseq
HG00096	h1tg000026l#1-57029958	1876	57029938	58.0508	1.56645e-06	hap1	hifiasm	57029958	57029958	600	50.0	HG00096.hsm-ps-sseq
HG00096	h1tg000027l#1-25206719	1367	25206699	55.8796	2.58252e-06	hap1	hifiasm	25206719	25206719	219	51.0	HG00096.hsm-ps-sseq
HG00096	h1tg000028l#1-33028350	561	33028330	60.9214	8.08836e-07	hap1	hifiasm	33028350	33028350	193	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000029l#1-38126494	1318	38126474	57.8352	1.64618e-06	hap1	hifiasm	38126494	38126494	245	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000030l#1-6211367	370	6211347	55.4719	2.83667e-06	hap1	hifiasm	6211367	6211367	120	47.0	HG00096.hsm-ps-sseq
HG00096	h1tg000031l#1-37969152	364	37969132	63.4055	4.56513e-07	hap1	hifiasm	37969152	37969152	193	53.0	HG00096.hsm-ps-sseq
HG00096	h1tg000032l#1-12761305	418	12761285	58.0693	1.5598e-06	hap1	hifiasm	12761305	12761305	78	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000033l#1-54020696	1097	54020676	60.1457	9.67011e-07	hap1	hifiasm	54020696	54020696	406	51.0	HG00096.hsm-ps-sseq
HG00096	h1tg000034l#1-1517643	234	1517623	51.3414	7.34285e-06	hap1	hifiasm	1517643	1517643	14	50.0	HG00096.hsm-ps-sseq
HG00096	h1tg000035l#1-33001831	1968	33001811	55.4672	2.83975e-06	hap1	hifiasm	33001831	33001831	301	50.0	HG00096.hsm-ps-sseq
HG00096	h1tg000036l#1-48765225	2201	48765205	56.677	2.14931e-06	hap1	hifiasm	48765225	48765225	314	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000037l#1-20197816	496	20197796	59.3204	1.1694e-06	hap1	hifiasm	20197816	20197816	116	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000038l#1-5012173	14	5012153	68.7612	1.3301e-07	hap1	hifiasm	5012173	5012173	81	48.0	HG00096.hsm-ps-sseq
HG00096	h1tg000039l#1-15672139	82	15672119	66.0353	2.49154e-07	hap1	hifiasm	15672139	15672139	140	50.0	HG00096.hsm-ps-sseq
HG00096	h1tg000040l#1-3522692	150	3522672	56.9299	2.02772e-06	hap1	hifiasm	3522692	3522692	15	54.0	HG00096.hsm-ps-sseq
HG00096	h1tg000041l#1-24862334	580	24862314	59.5433	1.11089e-06	hap1	hifiasm	24862334	24862334	101	54.0	HG00096.hsm-ps-sseq
HG00096	h1tg000042l#1-11863627	568	11863607	56.4208	2.27993e-06	hap1	hifiasm	11863627	11863627	39	55.0	HG00096.hsm-ps-sseq
HG00096	h1tg000043l#1-432509	0	432489	99.0	0.0	hap1	hifiasm	432509	432509	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000044l#1-4775385	218	4775365	56.6276	2.1739e-06	hap1	hifiasm	4775385	4775385	29	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000045l#1-10288395	1134	10288375	52.7993	5.24892e-06	hap1	hifiasm	10288395	10288395	213	47.0	HG00096.hsm-ps-sseq
HG00096	h1tg000046l#1-7590300	4	7590280	76.0042	2.50948e-08	hap1	hifiasm	7590300	7590300	29	54.0	HG00096.hsm-ps-sseq
HG00096	h1tg000047l#1-16656757	309	16656737	60.5385	8.83391e-07	hap1	hifiasm	16656757	16656757	105	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000048l#1-2904136	1374	2904116	46.4715	2.25347e-05	hap1	hifiasm	2904136	2904136	40	49.0	HG00096.hsm-ps-sseq
HG00096	h1tg000049l#1-186418	0	186398	99.0	0.0	hap1	hifiasm	186418	186418	8	44.0	HG00096.hsm-ps-sseq
HG00096	h1tg000050l#1-516158	83	516138	51.1587	7.65819e-06	hap1	hifiasm	516158	516158	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000051l#1-1945856	0	1945836	99.0	0.0	hap1	hifiasm	1945856	1945856	11	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000052l#1-2438325	0	2438305	99.0	0.0	hap1	hifiasm	2438325	2438325	1	64.0	HG00096.hsm-ps-sseq
HG00096	h1tg000053l#1-2917198	15	2917178	66.1109	2.44856e-07	hap1	hifiasm	2917198	2917198	35	49.0	HG00096.hsm-ps-sseq
HG00096	h1tg000054l#1-4163567	25	4163547	65.4374	2.85929e-07	hap1	hifiasm	4163567	4163567	23	53.0	HG00096.hsm-ps-sseq
HG00096	h1tg000055l#1-679029	0	679009	99.0	0.0	hap1	hifiasm	679029	679029	13	47.0	HG00096.hsm-ps-sseq
HG00096	h1tg000056l#1-4082426	1154	4082406	48.7087	1.34626e-05	hap1	hifiasm	4082426	4082426	64	48.0	HG00096.hsm-ps-sseq
HG00096	h1tg000057l#1-7570324	251	7570304	58.0165	1.57888e-06	hap1	hifiasm	7570324	7570324	45	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000058l#1-931999	393	931979	46.9715	2.00842e-05	hap1	hifiasm	931999	931999	22	46.0	HG00096.hsm-ps-sseq
HG00096	h1tg000059l#1-93538	44	93518	46.4956	2.24097e-05	hap1	hifiasm	93538	93538	41	34.0	HG00096.hsm-ps-sseq
HG00096	h1tg000060l#1-38588	0	38568	99.0	0.0	hap1	hifiasm	38588	38588	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000061l#1-7934273	329	7934253	57.0452	1.9746e-06	hap1	hifiasm	7934273	7934273	45	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000062l#1-21936	0	21916	99.0	0.0	hap1	hifiasm	21936	21936	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000063l#1-2326016	87	2325996	57.493	1.78114e-06	hap1	hifiasm	2326016	2326016	26	50.0	HG00096.hsm-ps-sseq
HG00096	h1tg000064l#1-6192580	12	6192560	70.3491	9.22767e-08	hap1	hifiasm	6192580	6192580	12	57.0	HG00096.hsm-ps-sseq
HG00096	h1tg000065l#1-4950547	20	4950527	67.1584	1.9238e-07	hap1	hifiasm	4950547	4950547	19	54.0	HG00096.hsm-ps-sseq
HG00096	h1tg000066l#1-3560468	377	3560448	52.9736	5.04242e-06	hap1	hifiasm	3560468	3560468	145	44.0	HG00096.hsm-ps-sseq
HG00096	h1tg000068l#1-135030	0	135010	99.0	0.0	hap1	hifiasm	135030	135030	1	51.0	HG00096.hsm-ps-sseq
HG00096	h1tg000069l#1-136504	0	136484	99.0	0.0	hap1	hifiasm	136504	136504	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000070l#1-470021	106	470001	49.6897	1.07407e-05	hap1	hifiasm	470021	470021	3	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000071l#1-135377	0	135357	99.0	0.0	hap1	hifiasm	135377	135377	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000072l#1-1874291	0	1874271	99.0	0.0	hap1	hifiasm	1874291	1874291	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000073l#1-77761	0	77741	99.0	0.0	hap1	hifiasm	77761	77761	3	44.0	HG00096.hsm-ps-sseq
HG00096	h1tg000074l#1-687836	14	687816	60.1356	9.69261e-07	hap1	hifiasm	687836	687836	47	42.0	HG00096.hsm-ps-sseq
HG00096	h1tg000075l#1-1269967	0	1269947	99.0	0.0	hap1	hifiasm	1269967	1269967	10	51.0	HG00096.hsm-ps-sseq
HG00096	h1tg000076l#1-768703	242	768683	48.2409	1.49939e-05	hap1	hifiasm	768703	768703	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000077l#1-304408	0	304388	99.0	0.0	hap1	hifiasm	304408	304408	16	43.0	HG00096.hsm-ps-sseq
HG00096	h1tg000078l#1-106744	0	106724	99.0	0.0	hap1	hifiasm	106744	106744	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000079l#1-1826463	93	1826443	56.1533	2.42476e-06	hap1	hifiasm	1826463	1826463	60	45.0	HG00096.hsm-ps-sseq
HG00096	h1tg000080l#1-70401	32	70381	46.6443	2.16556e-05	hap1	hifiasm	70401	70401	23	35.0	HG00096.hsm-ps-sseq
HG00096	h1tg000081l#1-1990838	16	1990818	64.1713	3.82711e-07	hap1	hifiasm	1990838	1990838	4	57.0	HG00096.hsm-ps-sseq
HG00096	h1tg000082l#1-574751	0	574731	99.0	0.0	hap1	hifiasm	574751	574751	2	55.0	HG00096.hsm-ps-sseq
HG00096	h1tg000083l#1-195574	104	195554	45.9634	2.53313e-05	hap1	hifiasm	195574	195574	61	35.0	HG00096.hsm-ps-sseq
HG00096	h1tg000084l#1-67901	12	67881	50.7475	8.4188e-06	hap1	hifiasm	67901	67901	66	30.0	HG00096.hsm-ps-sseq
HG00096	h1tg000085l#1-2671152	385	2671132	51.6342	6.86398e-06	hap1	hifiasm	2671152	2671152	1	64.0	HG00096.hsm-ps-sseq
HG00096	h1tg000086l#1-286785	134	286765	46.5254	2.22565e-05	hap1	hifiasm	286785	286785	82	35.0	HG00096.hsm-ps-sseq
HG00096	h1tg000088l#1-32992	0	32972	99.0	0.0	hap1	hifiasm	32992	32992	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000089l#1-99182	29	99162	48.5611	1.39282e-05	hap1	hifiasm	99182	99182	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000090l#1-1063151	4	1063131	67.4675	1.79166e-07	hap1	hifiasm	1063151	1063151	118	40.0	HG00096.hsm-ps-sseq
HG00096	h1tg000091l#1-1472226	17	1472206	62.5974	5.49874e-07	hap1	hifiasm	1472226	1472226	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000092l#1-1161715	66	1161695	55.6776	2.70548e-06	hap1	hifiasm	1161715	1161715	34	45.0	HG00096.hsm-ps-sseq
HG00096	h1tg000093l#1-61909	0	61889	99.0	0.0	hap1	hifiasm	61909	61909	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000094l#1-131352	41	131332	48.2774	1.48682e-05	hap1	hifiasm	131352	131352	48	34.0	HG00096.hsm-ps-sseq
HG00096	h1tg000095l#1-328133	0	328113	99.0	0.0	hap1	hifiasm	328133	328133	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000096l#1-839926	320	839906	47.4122	1.81459e-05	hap1	hifiasm	839926	839926	15	47.0	HG00096.hsm-ps-sseq
HG00096	h1tg000097l#1-24640	6	24620	49.3531	1.16063e-05	hap1	hifiasm	24640	24640	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000098l#1-68764	0	68744	99.0	0.0	hap1	hifiasm	68764	68764	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000099l#1-119400	0	119380	99.0	0.0	hap1	hifiasm	119400	119400	2	48.0	HG00096.hsm-ps-sseq
HG00096	h1tg000100l#1-1674007	109	1673987	55.0853	3.10076e-06	hap1	hifiasm	1674007	1674007	10	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000101l#1-379241	0	379221	99.0	0.0	hap1	hifiasm	379241	379241	6	48.0	HG00096.hsm-ps-sseq
HG00096	h1tg000103l#1-163771	0	163751	99.0	0.0	hap1	hifiasm	163771	163771	0	99.0	HG00096.hsm-ps-sseq
