# export of sheet1 of suppl. tables file / chrY project / Nature pub
Sample ID	Population	Super population	Coriell Family ID	Child of trio	Father ID/comment on Illumina data	Y haplogroup (ISOGG v15.73)	Y terminal marker	Cohort	HGSVC_year	High-coverage sample (HiFi coverage of at least 50⨉)	Bionano molecule N50 (kbp)	Bionano effective coverage of assembly (X)	Bionano	Project Accesion ID	PacBio HiFi	Project Accesion ID	ONT-UL	Project Accesion ID	Hi-C	Project Accesion ID	Strand-Seq	Project Accesion ID	RNA-Seq	Project Accesion ID	Iso-Seq	Project Accesion ID
HG01890	ACB	AFR	BB05			A0b	L1038	HGSVC	year2	yes	334.549	222.876	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220401_bionano_hgsvc/	PRJEB58376 	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/HG01890/	PRJEB58376	rebasecalled - https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/HG01890/	PRJEB58376	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220711_Strandseq/fastq/, http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220803_Strandseq/fastq/	PRJEB39750	NA	NA	NA	NA
HG02666	GWD	AFR	GB40			A1a	M31	HGSVC	year2	yes	361.139	199.132	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210902_bionano_hgsvc/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/HG02666/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_Hi-C_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210607_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_RNAseq_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20210728_PacBio_Iso-Seq_JAX/	PRJEB58376
NA19384	LWK	AFR	NA19384			B2b1	50f2(P)	HGSVC	year2	yes	290.121	199.651	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210902_bionano_hgsvc/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/NA19384/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_Hi-C_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20220207_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_RNAseq_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20210728_PacBio_Iso-Seq_JAX/	PRJEB58376
NA18989	JPT	EAS	NA18989			C1a1a1a1a	CTS6678	HGSVC	year2	yes	329.141	187.343	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210902_bionano_hgsvc/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/NA18989/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_Hi-C_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210824_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_RNAseq_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20210728_PacBio_Iso-Seq_JAX/	PRJEB58376
NA19239	YRI	AFR	Y117			E1a2a1a1a	CTS1792	HGSVC	year1	no	285.83	177.038	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200117_Bionano_optical_maps/	PRJEB41077	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20191205_YRI_PacBio_NA19239_HIFI/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_Hi-C_JAX/	PRJEB39684 	PRJEB12849, Chaisson et al. 2019	PRJEB12849, Chaisson et al. 2019	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200627_RNAseq_JAX/	PRJEB39684	NA	NA
HG03248	GWD	AFR	GB116	yes	HG03246	E1a2b1a1a1	Z14898	HGSVC	year2	no	330.403	140.11	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210902_bionano_hgsvc/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/HG03248/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_Hi-C_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210824_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_RNAseq_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20210728_PacBio_Iso-Seq_JAX/	PRJEB58376
HG02572	GWD	AFR	GB21	yes	HG02570	E1a2b1a2	Z5987	HPRC	year1	no	313.994	89.386	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02572/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02572/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02572/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02572/	PRJNA701308	NA	NA	NA	NA	NA	NA
HG03471	MSL	AFR	SL56	yes	HG03469/Illumina data from father used for Y phylogeny and dating	E1b1a1a1a1c	L485	HPRC	year1	yes	330.153	45.289	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG03471/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG03471/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG03471/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG03471/	PRJNA701308	NA	NA	NA	NA	NA	NA
HG02486	ACB	AFR	BB55	yes	HG02484/Illumina data from father used for Y phylogeny and dating	E1b1a1a1a1c1a1a	P252	HPRC	year1	no	320.841	108.099	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02486/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02486/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02486/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02486/	PRJNA701308	PRJEB54100, Porubsky, Vollger et al. 2022	PRJEB54100, Porubsky, Vollger et al. 2022	NA	NA	NA	NA
NA19317	LWK	AFR	NA19317			E1b1a1a1a1c1a1a3a1	CTS8030	HGSVC	year2	yes	287.31	200.465	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210902_bionano_hgsvc/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/NA19317/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_Hi-C_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20220119_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_RNAseq_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20210728_PacBio_Iso-Seq_JAX/	PRJEB58376
